id,sentence1,sentence2,similarity,predicted_similarity
sick_train_3492,A man isn't tossing a kid into the swimming pool that is near the ocean,The man is tossing a kid into the swimming pool that is near the ocean,0.7,0.7101768851280212
sts_train_4377,Generations divided over gay marriage,G20 Summit ends divided over Syria,0.0,0.05833522602915764
sick_train_138,Two dogs are running quickly through the park,Two dogs are running quickly through a park,1.0,0.9624301791191101
sts_train_3820,Israeli air strikes kill 16 in Gaza,Israel air strikes kill 4 in Gaza; death toll now at 38,0.44,0.47705793380737305
sick_train_4958,A surfer in a black wetsuit is riding a foamy wave,A surfer is surfing a huge wave,0.82,0.8234732747077942
sts_train_5402,Glee star Cory Monteith found dead in hotel room in Canada,'Glee' star Cory Monteith found dead,0.8800000000000001,0.8776374459266663
sts_train_4148,At least 80 dead in northwest Iran quakes,"180 dead, 1,300 injured in northwest Iran earthquakes",0.52,0.5038304924964905
sick_train_2760,A person is peeling a banana,A banana is being peeled by a person,0.98,1.0099472999572754
sts_train_761,A woman is scraping a carrot.,A man is striking clay pots.,0.0,0.030300334095954895
sts_train_4217,China mine accident kills 10,China truck accident kills 20,0.32,0.25687679648399353
sick_train_2812,Some boys are playing on a trampoline,Some children are jumping on a trampoline,0.8800000000000001,0.9222098588943481
sts_train_1647,Two terriers play on the wood floor of their home.,Two puppies play with a red chew toy in a field.,0.32,0.2955458164215088
sts_train_3273,Perry has called lawmakers into two special sessions to address congressional redistricting.,Perry has since called two special legislative sessions to try force the redistricting plan through.,0.75,0.7554609775543213
sick_train_6052,"A small boy in a shirt, which is yellow, is laughing on the beach",A small boy in a yellow shirt is laughing on the beach,1.0,0.9650903940200806
sick_train_796,"A dog, which has a black coat, is running in the grass and its tongue is hanging out",A black dog is running in the grass,0.8800000000000001,0.9265509247779846
sts_train_1596,A bloody man and woman pose for a picture.,A man in woman dressed warmly pose for a picture.,0.4,0.31416770815849304
sick_train_4887,There is no family posing by the mantel and the Christmas tree,A happy family is posing by the fireplace,0.78,0.7737715244293213
sts_train_2771,"""Today, we are trying to convey this problem to Russian President Vladimir Putin and US President George W Bush.""","""Today, we are trying to convey this problem to Russian President Vladimir Putin (news - web sites) and President Bush (news - web sites).""",0.92,0.9607879519462585
sick_train_1461,A man is eating a banana,The man is not eating a banana by a tree,0.8,0.7957515120506287
sick_train_5854,"A man, a woman and two girls are walking on the beach",A group of people is on a mountain,0.2799999999999999,0.30844756960868835
sick_train_2737,Mud is covering a topless woman,A topless woman is being covered in mud,1.0,0.9808143973350525
sts_train_509,A girl is singing on stage.,A man is singing on stage.,0.5599999999999999,0.551932692527771
sts_train_804,A woman is adding spices on a meat.,A woman adds ingredients to beef.,0.75,0.7302606701850891
sts_train_187,An orangutan is riding a bus.,A monkey is riding on a bus.,0.7200000000000001,0.8592396974563599
sts_train_2398,the problem isn't who has money.,the problem is who doesn't have money.,0.493333333333334,0.4449893534183502
sick_train_4328,The woman is handling a frog,A person is holding a frog,0.8400000000000001,0.9236416220664978
sick_train_2746,A large wet yellow dog is retrieving a toy,A dog is catching a white frisbee,0.62,0.7003450393676758
sts_train_2984,"However, we have decided to opt for the European consortium's engine as the best overall solution and due to the substantial price efforts made"".","However, we have decided to opt for the European consortium's engine as the best overall solution.""",0.76,0.7510880827903748
sick_train_3211,A shirtless man is escorting a horse that is pulling a carriage along a paved road,A shirtless man is leading a carriage that is being pulled by a horse,0.92,0.9367921352386475
sts_train_1686,A man and dog on a rocky seashore.,Man and dog standing on rocks next to water,0.96,0.8787296414375305
sts_train_2419,Originally Posted by jacko!,Originally Posted by IZZY!,0.24,0.22905199229717255
sick_train_5809,Someone is banging a camera lens against a nail,Some oil is being poured on the tomatoes by the man,0.2,0.18248926103115082
sick_train_1005,The woman is stirring eggs in a bowl,The lady is stirring eggs in a bowl,0.98,0.9858691692352295
sick_train_883,A man is speaking on a stage,A podium is where a man is speaking,0.8,0.763611376285553
sts_train_476,A woman is slicing an onion with a knife.,A man is preparing some dish.,0.25,0.3217600882053375
sts_train_908,Meat is dropped into a pan.,A woman is putting meat in a pan.,0.65,0.7391721606254578
sick_train_2527,The black dog is running through the grass,The black dog is not running through the grass,0.62,0.7933282852172852
sts_train_1267,A blue bird perches on the gloved hand of a person.,A bird is perched on a person's gloved hand.,0.8400000000000001,0.8937993049621582
sts_train_1600,A young boy jumps into a pool with outstretched arms.,A dog jumps into a backyard pool.,0.24,0.22128573060035706
sick_train_4338,A person is riding a horse,There is no woman slicing potatoes,0.2,0.19667352735996246
sts_train_1828,A black dog is biting a light brown dogs ear in a playful manner.,A black dog playfully bits another dog in a living room setting,0.8,0.7468804121017456
sick_train_217,One man is intensely playing a guitar,The man is intensely playing the guitar,0.96,0.9549148678779602
sick_train_4781,A yellow dog is drinking water from the faucet,The yellow dog is drinking water from a bottle,0.76,0.7536439299583435
sick_train_846,A young woman with Indian clothing and henna on her hand is going through paperwork,A girl with Indian clothing and henna on her hand is going through paperwork,0.96,0.937258243560791
sick_train_5776,There is no dog bouncing on a trampoline,A dog is jumping on a trampoline,0.74,0.7959972620010376
sick_train_3680,"A woman is putting on a cloak, which is very large, and concealing an extravagant dress","A black, red, white and pink dress is being worn by a woman",0.64,0.6997296214103699
sick_train_4968,A man is snowboarding down a railing in the snow,A woman is snowboarding down a railing in the snow,0.76,0.72728431224823
sick_train_4075,Three women are running in a village,Three women are sitting together near woven walls,0.4599999999999999,0.5311245322227478
sick_train_493,A man is cutting a box,A box is being cut by a man,0.98,1.0070935487747192
sick_train_6724,"A girl, who is little, is playing a grand piano on stage",A little girl is playing a grand piano on stage,0.96,0.9934217929840088
sts_train_3469,"the conventional forces in europe treaty limits the number of military aircraft, tanks and other non-nuclear heavy weapons in europe. ",the conventional forces in europe treaty was signed by russian and nato members in 1990.,0.5599999999999999,0.4779549837112427
sick_train_3740,A person is peeling a banana,There is no man reading an email,0.22,0.21653197705745697
sts_train_3223,"On Sunday, a U.S. soldier was killed and another injured in southern Iraq when a munitions dump exploded.","On Sunday, a U.S. soldier was killed and another injured when a munitions dump they were guarding exploded in southern Iraq.",0.75,0.8526370525360107
sts_train_1956,A child and two dogs play in the water.,A child in red and blue floaties looking down at the water.,0.44,0.4624442756175995
sts_train_4268,New Syria opposition chief wants no-strings aid,Syria opposition unites as Israel fires warning shots,0.2,0.2635626494884491
sick_train_3050,Two boys are doing martial arts on a blue mat,Two boys in white outfits and red protective gear are sparring on a mat,0.6799999999999999,0.8093143105506897
sts_train_4642,The e-mails - Oil firm asked trader about meeting with minister,Oil firm asked rogue trader about meeting with minister,0.8400000000000001,0.8830955624580383
sick_train_4650,There is no hiker dancing on top of the mountain,A man is on a rock high above some trees and is standing in a strange position,0.48,0.5923557877540588
sick_train_2688,A dog is herding a group of white sheep on a dusty farm,A dog is herding a pack of white sheep on a dusty farm,1.0,0.9710172414779663
sick_train_3839,There is no woman slicing a potato,A woman is slicing a potato,0.78,0.7977418899536133
sts_train_3807,Navy Jet Crashes Into Apartment Building,US Navy Jet Crashes into Apartment Block,0.8400000000000001,0.9171018004417419
sts_train_2552,"They passed through the Lemelson Medical, Educational and Research Foundation Limited Partnership in 2001 to Syndia.","It said the patents were ""allegedly"" assigned to Syndia in 2001 through the Lemelson Medical, Educational and Research Foundation Limited Partnership.",0.48,0.37939727306365967
sick_train_4333,A blond girl is riding the waves,A blond girl waves while she is riding,0.64,0.7313095331192017
sts_train_2491,Shares of Hartford rose $2.88 to $46.50 in New York Stock Exchange composite trading.,"Shares of Hartford were up $2.28, or 5.2 percent, to $45.90 in midday trading.",0.5,0.5107638239860535
sick_train_1679,A boy in a blue shirt has dirt on his face,A blond child is holding a yellow bottle,0.36,0.3926628828048706
sts_train_2910,"At 5 p.m. EDT, Grace's center was near latitude 25.6 north, longitude 93.7 west or about 280 miles east-southeast of Corpus Christi.","At 11 a.m. EDT, Fabian's center was near latitude 18.1 north and longitude 53.2 west, or about 550 miles east of the Leewards.",0.25,0.29020553827285767
sts_train_1139,A women sitting in a chair at Christmas holding make up.,A train sitting on the tracks in a train yard.,0.0,0.0007604090496897697
sts_train_266,A dog is barking at a ball.,A dog swims after a tennis ball.,0.3,0.3306941092014313
sts_train_2847,British police arrested 21 people early Tuesday in connection with the suspected ritual murder of an African boy whose torso was found in the Thames River.,Police have arrested 21 people in connection with the murder of a young Nigerian child whose headless and limbless torso was found floating in the river Thames.,0.7000000000000001,0.7003827691078186
sick_train_5038,One truck is quickly going down the hill,A truck is quickly going down a hill,0.98,0.9840491414070129
sts_train_3279,"He urged Congress to ""send me the final bill as soon as possible so that I can sign it into law.""","""I urge Congress to quickly resolve any differences and send me the final bill as soon as possible so that I can sign it into law,"" he said.",0.92,0.8795862793922424
sick_train_3068,Two women with dogs are walking on a forest path,Two men with dogs are walking on a forest path,0.8,0.7138157486915588
sts_train_278,A man is rowing a boat.,A man is shooting off a gun.,0.17,0.1061800867319107
sick_train_6742,"A black, red, white and pink dress is being worn by a woman","A woman is taking off a cloak, which is very large, and revealing extravagant apparel",0.5599999999999999,0.5864531993865967
sts_train_3916,No blocks to investment,India allows Pakistan investment,0.4,0.4541268050670624
sick_train_4429,Bread is being sliced by the man,The woman is slicing herbs,0.36,0.4930677115917206
sick_train_6810,Nobody is dangling from straps and kicking at each other,A blonde girl is hanging by gymnastic ropes,0.5,0.5757591724395752
sick_train_5365,Two dogs are wrestling and hugging,A brown dog is helping another animal in front of the man in pants,0.4599999999999999,0.45168739557266235
sick_train_2040,The girl is spraying the plants with water,The boy is spraying the plants with water,0.6799999999999999,0.6886579394340515
sick_train_5623,The boy in blue shirt is looking at his hand near the stack of blocks on table,A boy is playing a game with wooden blocks,0.62,0.6326390504837036
sick_train_1479,There is no little girl playing the piano,A little girl is playing the piano,0.7,0.7867835760116577
sts_train_4789,Protests sweep Brazil despite concession,Protests planned across Brazil despite concessions,0.8,0.8798707127571106
sts_train_3559,the russian foreign ministry stated that russia has not suspended dialogue. ,russian officials stated that russia will not reconsider the suspension.,0.52,0.5522007346153259
sts_train_2643,A beauty contest to be held in Italy next week may be the first for pixel-perfect pin-ups.,A new beauty contest kicking off in Italy next week will give pixel-perfect pin-ups the chance to steal sultry Sophia's sex-symbol status.,0.65,0.6200348138809204
sick_train_2458,A man doing a pose is being watched by another man,"A man in a purple shirt is dying another shirt black, which has a man looking at a dog doing a funny face painted on it.",0.38,0.3698878884315491
sick_train_460,A pan is being dropped over the meat,The meat is being dropped into a pan,0.7070000000000001,0.7474476099014282
sick_train_4181,The woman in a red costume is not leaning against a brick wall and is not playing an instrument,A woman in a red dress is playing an instrument,0.78,0.7717612385749817
sick_train_1594,A small child in a pink sweater is climbing a concrete staircase,A small child is lying outdoors in a grassy area,0.44,0.5112245678901672
sick_train_640,The muscular black man is dancing and the man behind him is wearing green beads,The muscular man is dancing and the man behind him is wearing green beads,0.8800000000000001,0.9021317362785339
sick_train_3414,A brown and white dog is catching a dirty tennis ball in a dirt field,A brown and white dog is biting a dirty tennis ball in a dirt field,0.82,0.7770045399665833
sts_train_4440,"India gang-rape victim ""struggling against the odds""",Indian rape victim dies in Singapore hospital,0.36,0.3661993741989136
sts_train_2189,"@Lustig Andrei, So Lyndon Johnson and John Kennedy were compatible?","@edgarblythe, So Lyndon Johnson and John Kennedy were compatible?",0.8800000000000001,0.9692662954330444
sts_train_4376,Matt Smith to leave Doctor Who after 4 years,Matt Smith quits BBC’s Doctor Who,0.8,0.8258675336837769
sts_train_337,A man is playing a guitar.,A woman is cutting vegetable.,0.0,0.02016591839492321
sick_train_1328,The man is playing a guitar,A guitar is being played by the man,0.98,1.0070931911468506
sts_train_4839,Pictures of the day: 7 August 2013,Picture of the Day,0.5599999999999999,0.5981088876724243
sts_train_5056,Relief in Boston as second suspect captured,Police confirm how suspect was captured,0.48,0.482906311750412
sts_train_4907,Typhoon survivors raid Philippine stores,Typhoon Bopha kills 15 in S. Philippines,0.24,0.18715254962444305
sts_train_2928,"The woman was hospitalized June 15, Kansas health officials said.",Missouri health officials said he had not been hospitalized and is recovering.,0.2,0.1501462161540985
sts_train_69,A man is dancing.,A man is talking.,0.12,0.11386115103960037
sts_train_225,A woman is dancing.,A woman is kneading dough.,0.08,0.09614083170890808
sts_train_4887,EU renews sanctions against Zimbabwe,EU lifts diamond sanctions against Zimbabwe,0.6000000000000001,0.5825163125991821
sick_train_3343,One man is climbing a rock wall and another man is holding a rope,One man is climbing a wall made of rock and another man is holding a rope,0.98,0.9553918242454529
sts_train_2696,"He will replace Ron Dittemore, who announced his resignation April 23.",Dittemore announced his plans to resign on April 23.,0.52,0.46930748224258423
sick_train_2484,A dog is chasing a ball,There is no dog chasing a ball,0.72,0.7982193827629089
sts_train_2546,"The 30-year bond US30YT=RR jumped 20/32, taking its yield to 4.14 percent from 4.18 percent.",The 30-year bond US30YT=RR dipped 14/32 for a yield of 4.26 percent from 4.23 percent.,0.4,0.36402347683906555
sick_train_5980,A cat is not crawling under a piece of furniture,A cat is crawling under a piece of furniture,0.76,0.7829722762107849
sick_train_2816,The boy is cutting the grass by the curb with scissors,The boy is not cutting the grass by the curb with scissors,0.76,0.7959540486335754
sts_train_437,Two teams are playing soccer.,Different sets of teams are playing football on a field.,0.5,0.4785553216934204
sts_train_4350,6.8 quake strikes off Solomon Islands,Magnitude 6.3 quake strikes off Solomon Islands: USGS,0.6400000000000001,0.6370346546173096
sts_train_3127,They also found shortness was associated with a family history of hearing loss.,Shortness was found twice as often in those with hearing loss.,0.68,0.5809262990951538
sick_train_5597,Some sticky goo is being pulled out of a bowl by a woman,A woman is pulling some sticky goo out of a bowl,1.0,1.0082257986068726
sick_train_190,The man is doing floor exercises,One man is doing floor exercises,0.98,0.9719640016555786
sts_train_1186,Two brown horses standing in grassy field.,Two men sailing in a small sailboat.,0.0,0.022836579009890556
sts_train_3387,But the cancer society said its study had been misused.,The American Cancer Society and several scientists said the study was flawed in several ways.,0.45,0.414696604013443
sick_train_80,A seated woman is singing a song and playing the guitar,A woman on a rock is standing and looking around,0.3399999999999999,0.42810317873954773
sts_train_3887,Former Nazi death camp guard Demjanjuk dead at 91,"John Demjanjuk, convicted Nazi death camp guard, dies aged 91",0.92,0.9682831764221191
sts_train_4164,Putin casts ballot as Russians vote,Putin to win Russia's presidential election,0.2799999999999999,0.24451389908790588
sts_train_2410,my hair is pretty thing tho :/ Quote: Ditto.,my hair is pretty thing tho :/ woops!,0.76,0.8219358325004578
sts_train_662,A man stares out a window.,A man looks out the window.,0.96,0.959118127822876
sick_train_4050,A girl has colored patches on the cheeks,A girl is standing in a group and is wearing a black shirt and pink beads,0.48,0.4652853012084961
sick_train_1731,A little child in a pink sweater is climbing a concrete staircase,A small child is outdoors climbing steps in a grassy area,0.7,0.7703424692153931
sts_train_1223,A yellow and blue airplane is flying in the sky.,Nine red and white aircraft flying in formation trailing smoke.,0.2,0.19267167150974274
sts_train_847,A large bird standing on a table picks up a plastic glass containing liquid and places it in a bowl of something.,A bird picks up a plastic cup containing a liquid with it's beak and puts the cup into a bowl.,0.7000000000000001,0.8091830611228943
sts_train_3537,jewish-american group the anti-defamation league (adl) published full-page advertisements in swiss and international papers in april 2008 accusing switzerland of funding terrorism through the deal. ,the anti-defamation league took out full-page advertisments in swiss and international newspapers earlier in april 2008 accusing switzerland of funding terrorism through the deal.,0.8800000000000001,0.8637147545814514
sick_train_4440,A man in blue is riding a animal on a dirt road,A man in a blue cowboy hat is riding a white horse,0.6799999999999999,0.7346129417419434
sts_train_2194,"Capital gains, top rate:  percent.","Income tax, top rate:  percent.",0.48,0.426478773355484
sick_train_3854,A man is running down the road,A man is standing still,0.54,0.5757881999015808
sick_train_2692,A man is standing on the top of a roof and playing a violin,A man is dancing on a roof ,0.64,0.7115896344184875
sts_train_4651,Seven peacekeepers killed in Sudan's Darfur,Peacekeeper killed in Abyei clash,0.32,0.254660040140152
sick_train_3220,The fish is following the turtle,A sea turtle is hunting for fish,0.64,0.69677734375
sick_train_851,A man is shooting a shotgun,There is no man shooting a shotgun,0.64,0.8041328191757202
sts_train_5488,"World News Update, what you need to know",Labour's 50p tax rate: what you need to know,0.12,0.08636122941970825
sick_train_2352,A man is standing beside a birdcage which is large and colorful,A man is standing beside a large and colorful birdcage,0.96,0.9646850824356079
sick_train_4303,A brown dog is running in the snow,A dog is running through the white snow,0.86,0.8617197275161743
sick_train_1951,Some furious racers on the green grass are yelling at the horses jumping an obstacle,"The Jockeys are racing horses on the field, which is completely green",0.5599999999999999,0.5925813913345337
sick_train_6098,There is no large dog running on the grass with a tennis ball in its mouth,A large dog is running on the grass with a tennis ball in its mouth,0.7,0.7796348929405212
sick_train_750,The man is not putting chicken into the container,A man is putting some food in a box,0.74,0.7568641901016235
sick_train_1666,A woman is taking off eyeshadow,A woman is putting on eyeshadow,0.72,0.7593856453895569
sick_train_3286,A woman is pulling some sticky goo out of a bowl,A woman is putting some sticky goo in a bowl,0.6799999999999999,0.7789827585220337
sick_train_6511,A boy in a red shirt is in front of a long blue wall and is suspiciously raising an eyebrow at the camera,A boy is standing in front of the blue building in the space reserved for handicapped people,0.48,0.5081897377967834
sts_train_1421,A black and white image of a cat laying on a rug.,Black and white picture of a cat laying on a rug.,1.0,1.0031896829605103
sts_train_1542,A tent and a campsite in a sunlit forest.,A white dog on a beach is carrying a stick in its mouth.,0.0,0.007476251572370529
sts_train_201,Someone is feeding a animal.,Someone is playing a piano.,0.0,0.032166384160518646
sts_train_2181,Tell us what the charges were.,Yes what are his charges.,0.8,0.9068106412887573
sick_train_1307,A woman is staging a dance,A woman is dancing on a stage,0.5599999999999999,0.7241791486740112
sick_train_3757,A person is wearing a blue shirt and walking barefoot on a tennis court,A barefoot man in pajamas is looking toward the sky and is walking on the tennis court,0.74,0.7715528607368469
sick_train_2104,A horse is racing,A horse is not racing,0.62,0.792705237865448
sick_train_39,A cow is eating hay,A cow is grazing,0.8400000000000001,0.8712458610534668
sick_train_1860,A man is crouching and holding a camera,A person is crouching and holding a camera,0.92,0.972614586353302
sick_train_3322,The cat is running across the gravel,The dog is running across the gravel,0.6799999999999999,0.705559253692627
sts_train_1548,A tan dog jumps up to catch a tennis ball.,A red dog jumps an catches a tennis ball in its mouth.,0.6000000000000001,0.6110770106315613
sick_train_697,A sea turtle is hunting for fish,A sea turtle is hunting for food,0.9,0.8900504112243652
sick_train_2202,The lady is measuring the ankle of another woman,The woman is measuring the other woman,0.94,0.925693929195404
sick_train_3298,A black and white dog is playing with a tattered volleyball in a brown field,A black and white dog is playing with a frisbee in a brown field,0.6599999999999999,0.7025467753410339
sts_train_4791,South Korean Workers Start Leaving Joint Factory Zone,South Korean workers set to leave joint factory zone,0.76,0.9626259803771973
sick_train_2783,The man in a cowboy hat is walking through a market and is putting a hand in his pocket,A walker is in a hat store for men,0.38,0.4611942768096924
sick_train_1186,A man is using a knife to open a box,A man is playing a guitar,0.26,0.23824504017829895
sick_train_547,A big brown and white spotted dog is lying on a jacket on the street,The dog is having a nap in the park,0.58,0.6090081334114075
sts_train_5032,Red Sox beat Tigers to reach World Series,Red Sox beat Tigers 5-2 to advance to World Series,0.8800000000000001,0.9157388210296631
sick_train_5264,One man is riding a horse,A man is riding a horse,0.94,0.983941912651062
sick_train_3862,A woman is wearing an Egyptian headdress,An Egyptian is wearing a woman's headdress,0.78,0.8989231586456299
sts_train_2723,"With the power back on, state workers headed back to their jobs Friday morning.","Pataki said if power was restored, state workers would be back on the job Friday morning.",0.52,0.5727461576461792
sts_train_141,someone is slicing a vegetable.,Someone is slicing a tomato.,0.6000000000000001,0.6398616433143616
sts_train_2147,Read More: You have never met anyone that is Pro-Abortion?,You have never met anyone that is Pro-Abortion?,0.96,0.998716413974762
sts_train_3801,22 dead in suicide attack on Yemen police academy,AU forces intensify attack on Somali rebels,0.08,0.08289249986410141
sts_train_5405,Iran says ready for fresh round of nuclear talks,Iran's Khamenei renews support for nuclear talks,0.7200000000000001,0.7387767434120178
sts_train_19,A cat is rubbing against baby's face.,A cat is rubbing against a baby.,0.76,0.8506653308868408
sts_train_4495,Car bombing kills 53 in Damascus,Car bombings kill 13 civilians in Iraqi capital,0.2799999999999999,0.32395312190055847
sts_train_2620,"The report ranked 45 large companies based on employment, marketing, procurement, community reinvestment and charitable donations.","Of those three, only Dillard's responded to the survey that ranked 45 large companies on employment, marketing, procurement, community reinvestment and charitable donations.",0.6000000000000001,0.5991844534873962
sick_train_4518,There is no woman chopping up an octopus,A woman is chopping up an octopus,0.6799999999999999,0.7797022461891174
sts_train_932,The man sang on stage into the microphone.,A man in a suit is standing at a microphone and singing.,0.7000000000000001,0.7181054353713989
sts_train_4665,Man with knife arrested at entrance to Buckingham Palace,Man Charged After Buckingham Palace Arrest,0.44,0.459194153547287
