sentence1,sentence2,similarity,predicted_similarity
Saudi Arabia gets a seat at the UN Security Council,Saudi Arabia rejects seat on UN Security Council,0.5599999999999999,0.9047619047619048
Four people are difficultly walking with difficulty across thick snow and the sun is setting,Four people are walking across thick snow and the sun is setting,0.92,0.888888888888889
An old woman is wearing a rose patterned shirt and is clumsily carrying two newspapers,The woman is wearing sunglasses of large size and is holding newspapers in both hands,0.7,0.6111111111111112
"Martin, 58, will be freed today after serving two thirds of his five-year sentence for the manslaughter of 16-year-old Fred Barras.",Martin served two thirds of a five-year sentence for the manslaughter of Barras and for wounding Fearon.,0.6000000000000001,0.6129032258064517
A small monkey is walking in the river,A small monkey is walking through water,0.86,0.8333333333333334
Some meat is being stitched together by a woman,Some meat is being cut into pieces by a woman,0.65,0.5833333333333334
The woman is chopping garlic,The woman is not chopping garlic,0.6,1.0
A surfer is leaning on a surfboard,The person is wearing a wetsuit and is riding a surfboard,0.597,0.33333333333333326
I'd say it primarily depends on two things:,I'd say it depends what conditions you have.,0.4,0.5666666666666667
Train in a station.,a train in a station.,1.0,1.0
There is no man sharpening a knife,A man is carrying a woman,0.24,0.33333333333333326
British soldier killed in southern Afghanistan,Two British soldiers killed in Afghanistan,0.6000000000000001,0.8666666666666666
The man is clumsily kick boxing with a trainer,The man is kick boxing with a trainer,0.9,0.9259259259259259
"A man with climbing equipment is hanging from a rock, which is vertical and white","A man with equipment used for climbing is hanging from a white, vertical rock.",0.96,0.9333333333333333
A woman is wearing ear protection and is firing a gun at an indoor shooting range,The woman is wearing ear protection and is firing a gun at an indoor shooting range,0.98,1.0
Two green and white trains sitting on the tracks.,Two green and white trains are sitting on the train track.,1.0,0.9230769230769231
There are no kids jumping on a trampoline,Several kids are jumping on a trampoline,0.64,0.8571428571428571
The girl is exercising,A girl is exercising,1.0,1.0
UBS settles US mortgage lawsuit,UBS settles US mortgage lawsuit and takes £600m charge,0.6000000000000001,0.46153846153846156
A monkey is playing drums.,A gorilla plays the drums.,0.5599999999999999,0.7777777777777778
A woman is picking a can,There is no woman slicing a tomato,0.2799999999999999,0.4
A group of children is not playing tambourines,A group of children in a church basement is playing maracas and tambourines,0.72,0.7272727272727273
A woman and man are dancing in the rain.,A man and woman are dancing in rain.,1.0,1.0
A baby is cheerfully playing with a dog,A small boy is playing with a dog,0.9,0.5833333333333334
A woman is slicing ginger.,A woman is cutting potatoes.,0.32,0.7777777777777778
The kids are at the theater watching a movie.,it is picture day for the boys,0.04,0.47619047619047616
"I would say you can do it, but it wouldn't be advised.","I would say it is impossible to know, so don't risk it.",0.4,0.40740740740740733
A line of scooters are parking in the middle of a street.,A line of motor bikes are parked in the middle of a street.,0.8800000000000001,0.7878787878787878
It's pretty much up to you.,It's much better to ask.,0.0,0.6
A man is diving off a cliff,A man is riding a motorcycle,0.3399999999999999,0.33333333333333326
It's not a good idea.,It is not a good idea.,1.0,1.0
A man is loading a rifle with bullets,A woman is seasoning a piece of meat,0.22,0.375
The women are divinely dancing outside,The women are dancing outside,0.9,0.8571428571428571
Two large dogs are frolicking in a parking lot,Two dogs are running through high grass,0.5,0.4242424242424242
A boy studies a calendar.,A boy is looking at a calendar.,0.8800000000000001,0.8333333333333334
Tan cows look closely at the camera.,A white and grey cat in a bathroom sink looking at the camera.,0.15,0.4444444444444445
Two large dogs are frolicking in a grassy field,Two large dogs are frolicking in a parking lot,0.64,0.7777777777777776
A man is dancing.,A woman is exercising.,0.08,0.16666666666666666
A person on a bike is jumping through the air and the sun is flaring beautifully through the bike frame,The person is flying through the air on a bicycle,0.7,0.6025641025641025
Someone is stirring chili in a kettle,Someone is stirring a pot of chili with a spoon,0.82,0.7777777777777778
A woman is exercising,A man is not dancing,0.24,0.16666666666666666
The red and brown dog is digging its nose inside a holiday gift bag,The dog has its head inside a red and green gift bag,0.82,0.7083333333333333
A black dog in the snow is jumping off the ground and catching a stick,A black dog in the snow is leaping off the ground and catching a stick,1.0,1.0
A group of people are sitting at at a beach on towels watching the Blue Angels.,A group of people are sitting at a beach watching the Blue Angels.,0.8400000000000001,0.9333333333333333
A woman is exercising.,A man is dancing.,0.05,0.16666666666666666
A person who is practicing snowboarding falls from the air,The snowboarder is leaping over white snow,0.6799999999999999,0.3703703703703704
A group of teenagers in red shirts are smiling.,A group of people are wearing orange shirts.,0.24,0.4666666666666666
You want to start in the room that is the largest to make sure you have the straightest start.,"You will have to start with the clinic., and maybe move on to the insurance company.",0.2,0.4047619047619048
Syria fighting rages as Russia urges Western re-think,"Syria fighting rages in capital, Russia pressed",0.52,0.7619047619047618
A man is slicing a tomato.,A man is slicing a bun.,0.4,0.6666666666666666
Tycoon claims win in Ukraine and promises to seek future in EU,Polling stations open at Ukrainian presidential election,0.0,0.14285714285714285
The puppy is playing with a plastic container,The puppy is playing with a container made of plastic,1.0,0.888888888888889
A woman is cutting broccoli,A man is cutting tomatoes,0.48,0.4444444444444445
A man is playing the guitar,The man isn't playing an acoustic guitar,0.76,0.8571428571428571
Fish is being cooked by a woman,A woman is cooking fish,0.98,1.0
A brown and white dog is playing on the grass,A dog is playing in the green field,0.72,0.5925925925925927
The woman is slicing herbs,The woman is not slicing herbs,0.76,1.0
a close up head of an ostrich.,A close up of an ostrich face.,0.8800000000000001,0.7777777777777778
The children are holding musical instruments.,A group of children are singing and playing instruments,0.68,0.6296296296296297
The curious boys look in the shed.,Two small boys in a woody area looking at a shed.,0.5599999999999999,0.4242424242424242
A girl is looking on surprised from a front window in a house in Asia.,A girl is wearing a t-shirt and has her mouth open.,0.48,0.3589743589743589
A person is wearing a hat and is sitting on the grass,There is no person wearing a hat and sitting on the grass,0.6599999999999999,1.0
A girl is jumping.,A boy is rock climbing.,0.12,0.2
A baby is playing with a dog ,A small boy is scolding a dog,0.6,0.380952380952381
A woman and three men are posing for a photo,A woman is posing for three men for a photo,0.7,1.0
A man is pouring oil into a pan,A man is taking the oil out off a skillet,0.72,0.625
People are sitting against a wall,A woman is wearing a blue shirt with a white vest and a white cap and is talking and marching,0.2799999999999999,0.10256410256410256
Red and white bus driving down road.,A bus drives down a busy road.,0.7200000000000001,0.7777777777777778
The man in a cowboy hat is walking through a market and is putting a hand in his pocket,The man in a cowboy hat is not walking through a market and is not putting a hand in his pocket,0.72,1.0
Woman playing tennis and hitting the ball.,A woman is playing volley ball.,0.4,0.7777777777777778
The doctor is helping the patient,The patient is helping the doctor,0.64,1.0
A woman is slicing garlic,A woman is chopping up garlic,0.8800000000000001,0.7777777777777778
Two women are wearing bikinis and walking on the sand,Two women are wearing bikinis and are walking on the sand,1.0,1.0
A man is wearing a long black jacket and a brown hat and is walking past a park with a lot of blooming trees,A woman is wearing a long black jacket and a brown hat and is walking past a park with a lot of blooming trees,0.78,0.9615384615384617
A man attacks a woman.,A man slaps a woman.,0.7200000000000001,0.7777777777777778
The cat is licking a bottle.,A cat plays with a small bottle.,0.4666,0.5714285714285714
A man mixes vegetables in a pot.,A person is stirring vegetables in a pot.,0.75,0.625
Critics say Putin’s security restrictions violate rights,Putin's security decree for Sochi draws ire of critics,0.6400000000000001,0.5
A boy is sitting in a room and playing a piano by lamp light,There is no boy playing a keyboard,0.64,0.5
"The government did not identify the taikonauts — a term coined from ‘‘taikong,’’ the Chinese word for space — who would travel on the second mission.","The government did not identify the taikonauts -- a term coined from taikong, the Chinese word for space.",0.6666000000000001,0.528735632183908
The person is practicing the guitar,The guitar is being sold by a lady,0.4,0.33333333333333326
A man is playing a guitar.,A woman is riding a horse.,0.1,0.22222222222222224
"A person is climbing a rock with a rope, which is pink",One man is climbing the cliff with a rope,0.82,0.5666666666666667
A dog with long hair and a red vest is running in the grass,The dog in the red vest is running in the field,0.86,0.7222222222222222
Russian opposition leader under house arrest,Russian Opposition Leader Placed Under House Arrest,1.0,0.909090909090909
Attacker in Afghan uniform kills 2 NATO troops,Man in Afghan army uniform kills NATO soldier,0.68,0.6666666666666666
We believe the report is fully consistent with what the courts have ruled ... that the department's actions are fully within the law.,Comstock said several federal courts have ruled that the detentions are fully within the law.,0.5334,0.463768115942029
A woman is about to paint.,A boy is about to take a picture.,0.2,0.13333333333333333
Veteran stage and screen actor Hume Cronyn died of cancer Sunday.,"Character actor Hume Cronyn, 91, died Sunday at his home in Connecticut.",0.7000000000000001,0.6296296296296295
A child is swimming underwater in a pool,A kid is smiling at the camera and swimming underwater,0.8,0.6666666666666666
The woman is stirring meat in a bowl,The woman is not stirring meat in a bowl,0.78,1.0
A person is jotting something with a pencil,The person is writing with a pencil,0.98,0.7142857142857144
There's not a lot you can do about that.,There's not that much that you can do with a sourdough starter.,0.4,0.5
There is no man cutting onions,A woman is cutting an onion,0.54,0.7777777777777778
The boy is speedily riding a tricycle,A woman is riding a water scooter,0.2799999999999999,0.41666666666666663
A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a face which looks funny,1.0,0.7619047619047618
A man is carelessly holding a frog,A man is emptying a container made of plastic completely,0.2799999999999999,0.4666666666666666
A rollerblader is performing a trick on a ramp,A man on inline skates is skating at a park built for skating,0.783,0.0
A group of racing dogs are nosing a muzzle,A group of dogs are racing and have muzzles on their noses,0.72,1.0
A little boy hits a golf ball.,The little boy swung at the golf ball.,0.8,0.8666666666666666
A man dressed in a pale scarf with a stick.,A runner is resting in the shade with a bottle of soda.,0.0,0.2
A little girl is playing a grand piano on stage,A girl is practicing the piano,0.76,0.5555555555555556
A young climber is making a rock wall for the boys,The young boy is climbing the wall made of rock,0.6599999999999999,0.8333333333333334
A man is talking to a woman,A man and a woman are speaking,0.96,1.0
The benchmark 10-year Treasury note yield <US10YT=RR> dipped below 4.20 percent on Tuesday.,"Prices for Treasury securities also rose, with the yield on the benchmark 10-year note falling to 4.19 percent.",0.65,0.5333333333333333
Some meat is being stitched together by a woman,A lady is cutting up some meat,0.7,0.5238095238095238
An old woman is wearing a shirt with a rose pattern upon it and is clumsily carrying two newspapers,A woman is wearing sunglasses of large size and is holding newspapers in both hands,0.72,0.5789473684210525
The two boys are playing kick ball back and forth to each other.,The players are kicking each other while attempting to kick the ball.,0.6000000000000001,0.5
A purple crowd of people is eating on various red lit restaurant tables,A large group of Asian people is eating at a restaurant,0.62,0.5555555555555556
A dog is looking around,There is no dog looking around,0.58,1.0
A black dog is leaping from a hay ball to another hay ball,A black dog is leaping from a cylindrical hay bale,0.82,0.6666666666666666
Apple iPad mini makes debut,Apple iPad mini makes debut in Asia,0.68,0.7272727272727273
"""Further testing is still under way, but at this stage, given the early detection, the outlook in such instances would be positive,"" the specialist said yesterday.","""But at this stage, given the early detection, the outlook in such instances would be positive,"" he said.",0.7000000000000001,0.654320987654321
A surfer is falling off the wave,A woman in a yellow shirt is surfing on a pink surfboard,0.64,0.18518518518518517
There is no boy in a white t-shirt splashing in shallow water,A boy is running through the water at the beach,0.48,0.5454545454545454
Three children are running up hill,Three children are running down a grassy hillside,0.74,0.6666666666666666
A policeman is sitting on a motorcycle,A motorcyclist is sitting by a police man,0.7,0.2857142857142857
Putin Declares Victory in Russia Presidential Vote,Complaints in Russian election mount,0.2,0.16666666666666666
A man is cutting an onion,An onion is being cut by a man,0.98,1.0
A dog is catching a black frisbee,A large wet yellow cat is retrieving a toy,0.32,0.33333333333333326
The rule - When in doubt throw it out!,"I always go by the rule ""When in doubt, throw it out!",0.8,0.6
You don't have to know.,You don't have equipments/facilities to do research in B.,0.0,0.0
A group of people are dancing in a show,A group of people are marching,0.4599999999999999,0.5714285714285714
A man is sitting,A man is dancing,0.54,0.5
A woman in a pink shirt is surfing through yellow surfboards,A surfer is riding the wave,0.54,0.2962962962962963
"Last week, his lawyers asked Gov. Mark R. Warner to grant clemency, but the governor declined to intervene.","Last week, his lawyers asked Warner to grant clemency under certain conditions that would have lead to a new sentencing hearing.",0.6000000000000001,0.5802469135802469
A light brown dog runs down a path happily.,A pale dog runs down a path.,0.68,0.7
The man is riding a horse,A man is riding a horse,1.0,1.0
A man is sitting and smoking.,A man is smoking a cigarette.,0.8,0.6666666666666666
A boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees,The kid is sliding in the snow,0.72,0.33333333333333337
The boy is raising his hand.,The man is raising his hand.,0.68,0.8333333333333334
Two zebras play in an open field.,Two zebras are playing in a field.,0.8400000000000001,0.9259259259259259
A man reels in a fish.,A woman is pouring oil in a bowl.,0.0,0.09523809523809522
"In the United States, 20.7 percent of all women smoke.","Nevada is where the most women smoke, 28 percent.",0.2666,0.6666666666666667
A dog is biting a can,A dog is opening a jar of food,0.6799999999999999,0.33333333333333326
A man is hungrily eating a bowl of cereal,The man is eating cereal,0.94,0.75
A woman is playing with two young boys at a park,A lady is standing near three children,0.6,0.33333333333333326
The man is dancing,A few women are dancing,0.58,0.6666666666666666
"Indeed, Mr. Weill, a self-described workaholic, said he planned to remain very involved in the company.","Still, Mr. Weill will remain very much a power at the company.",0.6400000000000001,0.5438596491228069
It is impossible to answer this question without a form check.,"It is difficult, if not impossible, to give a complete answer to this question.",0.4,0.5972222222222222
Men are sawing logs,Men are cutting wood,0.9,0.6666666666666666
A girl in a uniform is playing the flute with a band,A girl in a band is playing the flute,0.8400000000000001,0.9259259259259259
Two kids and a man are playing games at an arcade,A family is not purchasing something at a vending machine,0.24,0.060606060606060594
Little kids are playing in a water fountain in front of few people,Children are playing in a fountain that is spraying water from the ground,0.82,0.7179487179487178
China stocks close lower on Friday,China stocks close higher on Wednesday,0.36,0.7333333333333334
A man is opening a box and taking out paper.,A woman is peeling a potato.,0.0,0.16666666666666666
A man is buttering a piece of bread,A man is buttering a slice of bread,0.92,1.0
A man is dragging a dead deer.,A man is jumping into water from a cliff.,0.16,0.41666666666666663
"Yes, you should make a résumé.","Yes, you should talk to your professor.",0.0,0.33333333333333326
A man is wearing a hard hat and dancing,A man is naked and standing still,0.38,0.3703703703703704
Gazans fire 2 rockets into Israel; no injuries,2 Gaza rockets hit Israel; no injuries,0.96,0.7222222222222222
The turtle is following the fish,The turtle isn't following the fish,0.8,1.0
A group of children in a church basement is playing guitars and tambourines,A group of children in a church basement is playing maracas and tambourines,0.8400000000000001,0.8571428571428571
"Yes, you should mention your experience.","Yes, you should mention it.",0.6000000000000001,0.8
A man and a woman walk with a white dog on a leash.,"A man, woman and dog walk down a paved road.",0.8,0.75
A large pile of wooden items piled high.,A large pile of scrap wood.,0.76,0.5333333333333334
Governor Gray Davis estimated yesterday that the fires could cost nearly $2 billion.,State officials estimated the cost at nearly $2 billion.,0.7000000000000001,0.5666666666666667
Two men are riding an orange raft on the shore,The orange rescue boat is rushing across the water,0.6799999999999999,0.3611111111111112
A guy is taking off his sunglasses.,A boy is removing his sunglasses.,0.76,0.7777777777777778
Birth Control Linked With Higher Glaucoma Risk,Contraceptive pill 'doubles glaucoma risk',0.68,0.5128205128205129
I have few suggestions for you:,I have two suggestions for you:,0.8,0.6666666666666666
The polar bears fought over the kill.,Polar bears are fighting each other.,0.68,0.9047619047619048
I agree with the other comments.,I agree with the previous comments.,1.0,0.8
A cat is playing a piano funnily,A cat is playing keyboards,0.78,0.6666666666666667
Democrats currently hold a 17-15 advantage in the state's congressional delegation.,The Texas congressional delegation now is 17-15 Democratic.,0.52,0.5555555555555554
The man is playing the guitar.,The girl is playing the guitar.,0.32,0.6666666666666666
A monkey is kicking at the gloved hand of a person,The monkey isn't practicing martial arts,0.64,0.3703703703703704
"The security official's backup couldn't fill in because he was on active military duty, Strutt said.","The security official's backup was on active duty, and the lottery association didn't have a replacement in New Jersey, Strutt said.",0.68,0.5555555555555554
A man is cutting apple by his hand.,A man is cutting carpet with a knife.,0.3,0.5
"Nonetheless, the open-source guru insisted, ""This attack was wrong, and it was dangerous to our goals.""","""This attack was wrong, and it was dangerous to our goals,"" Raymond said.",0.7000000000000001,0.5
A little girl in an orange striped outfit is airborne whilst bouncing on a bed.,A dog in a red shirt is chasing a squirrel through the glass.,0.04,0.22222222222222224
A young girl is jumping into a still lake,A young boy is jumping into a still lake,0.7,0.8
A yellow school bus parked in a field.,A brown horse in a green field.,0.0,0.5185185185185186
The lady isn't cracking an egg for the mixer,The lady is slicing up the meat,0.4669999999999999,0.2857142857142857
The woman is cracking two eggs into a bowl made of glass,A woman is cracking an egg into a bowl,0.9,0.7575757575757578
Children in red shirts are sleeping in the leaves,Three kids are jumping in the leaves,0.62,0.5185185185185186
A lion is pacing tiredly in a pen,A lion is slowly walking,0.8,0.5238095238095238
A woman is placing food in a pot of hot water,A woman is cooking food in a pot of hot water,0.8800000000000001,0.8333333333333334
A young man wearing a striped shirt is holding two bicycles.,Young redheaded man holding two bicycles near beach.,0.76,0.7083333333333333
A man is typing on a machine used for stenography,A man is putting away a stenograph machine,0.7,0.5666666666666667
Two race cars are on a road in front of a grassy parking area,Two cars for racing are on a road in front of a grassy parking area,0.98,1.0
20 killed in bomb attack at Pakistani base,8 soldiers killed in bomb attack in NW Pakistan,0.4,0.6153846153846154
Someone is stirring noodles in the water,A man is boiling noodles in water,0.8,0.7083333333333334
Canada approves oil pipeline to the Pacific Coast,Canadian government approves controversial oil pipeline to Pacific,0.96,0.6153846153846154
A man is kicking pots of water.,A man is turning foods.,0.2666,0.5238095238095238
A woman is cooking fish,A woman is not frying fish,0.72,0.8333333333333334
Someone is drawing a person,A man is drawing a picture,0.92,0.6666666666666666
Three women are sitting in a village,Three women are running in a village,0.72,0.8333333333333334
The boy is riding a tricycle,A woman is riding a scooter towards the water,0.32,0.33333333333333326
"The dollar was at 117.85 yen against the Japanese currency, up 0.1 percent.","Against the Swiss franc the dollar was at 1.3289 francs, up 0.5 percent on the day.",0.2666,0.3111111111111111
The lady peeled the potatoe.,A woman is peeling a potato.,0.95,0.5
A person is holding a skunk,A person is not frying meat in a pan,0.22,0.2857142857142857
A small boy is standing in the forest,A young child is standing in front of some trees,0.74,0.4444444444444445
"WorldCom's accounting problems came to light early last year, and the company filed for bankruptcy in July 2002, citing massive accounting irregularities.","WorldCom's financial troubles came to light last year and the company subsequently filed for bankruptcy in July, 2002.",0.7714000000000001,0.6250000000000001
The man is kicking a boxing trainer,The man is kick boxing with a trainer,0.73,1.0
I would look at this: U.S.,I would look at this way: ,0.4,0.33333333333333326
A woman is deep frying food,Food is being deep fried by a woman,0.96,1.0
A woman is putting away carrots,A woman is coating a pork chop,0.3399999999999999,0.25
Hilsenrath and Klarman each were indicted on three counts of securities fraud.,Klarman was charged with 16 counts of wire fraud.,0.2799999999999999,0.435897435897436
"A man is rock climbing, pausing and calculating the route","A woman is rock climbing, pausing and calculating the route",0.8400000000000001,0.888888888888889
Two kids are playing in a swimming pool with a green colored crocodile float,Two kids are pushing past a crocodile in an inflatable pool,0.8,0.6458333333333333
A tiger is not walking around,Some people are walking,0.3399999999999999,0.4
"The boy also sprayed the room full of retardant from fire extinguishers, which made it hard to see, the chief said.","The boy fired once into a wall and sprayed the room with fire extinguishers, making it hard to see, the chief said.",0.6666000000000001,0.8400000000000001
I think there isn't a general answer.,I don't think there is an answer for this.,0.8,0.8666666666666666
You may have to experiment and find what you like.,You have to find out what works for you.,1.0,0.5
One man is turning on the microwave,There is no man is pushing the buttons of a microwave,0.74,0.5833333333333334
A group of people sit at a table in an Italian restaurant.,A group of six people sitting at a table with salad served.,0.6000000000000001,0.6666666666666666
A man is speaking about the stage,A man is speaking on a podium,0.74,0.7777777777777778
A black and white dog with a large branch is running in the field,A black and white dog with a large branch is running in the grass,0.86,0.8571428571428571
The brown dog is sniffing the back of a small black dog,There is no large brown dog and small grey dog standing on a rocky surface,0.6599999999999999,0.45833333333333337
A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face,A man doing a pose is being watched by another man,0.753,0.33333333333333326
A maintenance guy is repairing a net on a tennis court.,A man removing a tennis net.,0.48,0.5666666666666667
Three teenage girls are idling in the room,Some teenage girls are dancing for the camera,0.62,0.5925925925925927
"It depends on what you want to do next, and where you want to do it.","They can, but the way to do it depends on what you have available.",0.2,0.47619047619047616
The woman is picking up and holding a baby kangaroo,A woman is picking up and holding a baby kangaroo in her arms,0.92,0.909090909090909
A light-colored dog runs through the grass.,A dog runs through the grass.,0.8,0.7037037037037037
Dog is jumping down a ramp.,A girls is jumping in the sand.,0.24,0.33333333333333326
A woman is cutting shrimps,A man is chopping butter into a container,0.48,0.23809523809523808
Two ducks are standing by the water.,The birds are swimming in the water.,0.48,0.47619047619047616
"""We believe we are fully prepared to roll out the [touch-screen] machines for the 2004 presidential primary,"" said Gilles W. Burger, State Board of Elections chairman.","""We believe we are fully prepared to roll out the revised Diebold machines,"" said Gilles W. Burger, chairman of the Maryland State Board of Elections.",0.75,0.6016260162601627
A man is skiing down a hill and over a red obstacle,A man is snowboarding down a railing in the snow,0.44,0.22222222222222224
A lion is tiring the whole pen by pacing,A lion is pacing tiredly in a pen,0.76,0.7777777777777778
A person playing football is wearing black armbands,A football player is wearing black armbands,0.8800000000000001,0.8181818181818181
Gu Kailai murder trial ends in China,Gu Kailai's Murder Trial Ends in China,1.0,0.7692307692307693
People are riding and paddling a raft,People are paddling near a raft that is being ridden,0.8,0.888888888888889
The black dog is playing with the brown dog on the sand,A black dog is playing with a brown dog on the sand,0.96,0.8333333333333334
a black and white dog jumping in the air to catch a Frisbee,A black and white dog jumping in a yard.,0.68,0.7777777777777778
A girl is coming up on a car.,A girl jumps on top of a car.,0.52,0.7142857142857144
You do not need to worry.,You don't have to worry.,1.0,0.7777777777777778
Two old ladies are wearing worn dresses at home,A woman in a white dress and a woman in a blue dress are standing on a stage,0.52,0.4444444444444445
You need to read a lot to know what you like and what you don't.,"Yes, you should create a portfolio site to showcase what you can do and what you've done.",0.0,0.36666666666666664
A person is not doing a trick on a slide,A snowboarder is grinding down a long concrete rail,0.3399999999999999,0.08333333333333331
The kids are chasing each other in the sand,A little boy is running on the ground and playing with a little girl,0.6599999999999999,0.2
The man is wearing a wetsuit and is riding a surfboard,The man is lying naked near a surfboard,0.58,0.5666666666666667
a man wearing a gray hat fishing out of a fishing boat.,A man wearing a straw hat and fishing vest in a stream.,0.52,0.6666666666666667
A man in a top hat rides a white horse.,A man with a top hat riding a white horse.,1.0,1.0
The military officer is barking at the recruits,An officer is talking to the recruits,0.877,0.7142857142857144
A woman is cutting an onion.,A horse is standing.,0.0,0.13333333333333333
The player is dunking the basketball into the net and a crowd is in background,A man with a jersey is dunking the ball at a basketball game,0.76,0.4444444444444445
It is impossible to answer this question without a form check.,This is a part answer to your question,0.0,0.6111111111111112
The man is setting up the camera and taking sunset pictures at the beach,The man is putting away the camera and walks away from the beach,0.7,0.6666666666666666
Boys are not dancing in front of some people,Boys are dancing in front of some people,0.76,1.0
A man is playing the piano.,A man played the guitar.,0.4,0.7777777777777778
The young child is riding a three wheeled scooter down the sidewalk,A young child is riding a three wheeled scooter down the sidewalk,0.98,1.0
Syrian Opposition Urges EU to Send Arms to Rebels,Syrian opposition meets to choose interim PM,0.32,0.4102564102564103
Paper is being cut with scissors,There is no paper being cut with scissors,0.74,1.0
There is no little kid playing football and falling into the grass,The football is between the feet of a boy who is lying on the grass,0.6,0.5757575757575758
"You just have to base your answer on what you do know, which is what you want.","They can, but the way to do it depends on what you have available.",0.2,0.4285714285714285
Two black dogs are jumping and playing with a yellow tennis ball in the snow.,A brown dog and a black dog playing with a yellow soccer ball.,0.4,0.6666666666666666
A girl is awakening,A girl is waking up,0.98,1.0
"But Odette is the first to form over the Caribbean Sea in December, the Center said.",It is the first named storm to develop in the Caribbean in December.,0.8400000000000001,0.6071428571428571
A hiker is on top of the mountain and is doing a joyful dance,A hiker is on top of the mountain and is dancing,0.94,0.9259259259259259
A man is driving a car.,A man is riding a horse.,0.24,0.6666666666666666
