,id,s1,s2,score,BERT
76,sick_train_1461,A man is eating a banana,The man is not eating a banana by a tree,0.8,0.808249831199646
77,sick_train_5854,"A man, a woman and two girls are walking on the beach",A group of people is on a mountain,0.2799999999999999,0.2361042499542236
78,sick_train_2737,Mud is covering a topless woman,A topless woman is being covered in mud,1.0,1.0035700798034668
79,sts_train_509,A girl is singing on stage.,A man is singing on stage.,0.5599999999999999,0.5896077752113342
80,sts_train_804,A woman is adding spices on a meat.,A woman adds ingredients to beef.,0.75,0.8588206768035889
81,sts_train_187,An orangutan is riding a bus.,A monkey is riding on a bus.,0.7200000000000001,0.8115910291671753
82,sts_train_2398,the problem isn't who has money.,the problem is who doesn't have money.,0.493333333333334,0.4679053723812103
83,sick_train_4328,The woman is handling a frog,A person is holding a frog,0.8400000000000001,0.903040051460266
84,sick_train_2746,A large wet yellow dog is retrieving a toy,A dog is catching a white frisbee,0.62,0.6595575213432312
85,sts_train_2984,"However, we have decided to opt for the European consortium's engine as the best overall solution and due to the substantial price efforts made"".","However, we have decided to opt for the European consortium's engine as the best overall solution.""",0.76,0.8129258751869202
86,sick_train_3211,A shirtless man is escorting a horse that is pulling a carriage along a paved road,A shirtless man is leading a carriage that is being pulled by a horse,0.92,0.9216671586036682
87,sts_train_1686,A man and dog on a rocky seashore.,Man and dog standing on rocks next to water,0.96,0.8881963491439819
88,sts_train_2419,Originally Posted by jacko!,Originally Posted by IZZY!,0.24,0.2798716127872467
89,sick_train_5809,Someone is banging a camera lens against a nail,Some oil is being poured on the tomatoes by the man,0.2,0.1321421414613723
90,sick_train_1005,The woman is stirring eggs in a bowl,The lady is stirring eggs in a bowl,0.98,0.9987002015113832
91,sick_train_883,A man is speaking on a stage,A podium is where a man is speaking,0.8,0.7652555108070374
92,sts_train_476,A woman is slicing an onion with a knife.,A man is preparing some dish.,0.25,0.4560753405094147
93,sts_train_908,Meat is dropped into a pan.,A woman is putting meat in a pan.,0.65,0.7350032925605774
94,sick_train_2527,The black dog is running through the grass,The black dog is not running through the grass,0.62,0.8948142528533936
95,sts_train_1267,A blue bird perches on the gloved hand of a person.,A bird is perched on a person's gloved hand.,0.8400000000000001,0.8921651244163513
96,sts_train_1600,A young boy jumps into a pool with outstretched arms.,A dog jumps into a backyard pool.,0.24,0.2778196036815643
97,sick_train_4338,A person is riding a horse,There is no woman slicing potatoes,0.2,0.1429264098405838
98,sts_train_1828,A black dog is biting a light brown dogs ear in a playful manner.,A black dog playfully bits another dog in a living room setting,0.8,0.7042956352233887
99,sick_train_217,One man is intensely playing a guitar,The man is intensely playing the guitar,0.96,0.9579904675483704
100,sick_train_4781,A yellow dog is drinking water from the faucet,The yellow dog is drinking water from a bottle,0.76,0.708092451095581
101,sick_train_846,A young woman with Indian clothing and henna on her hand is going through paperwork,A girl with Indian clothing and henna on her hand is going through paperwork,0.96,0.9795611500740052
102,sick_train_5776,There is no dog bouncing on a trampoline,A dog is jumping on a trampoline,0.74,0.9407111406326294
103,sick_train_3680,"A woman is putting on a cloak, which is very large, and concealing an extravagant dress","A black, red, white and pink dress is being worn by a woman",0.64,0.6855710744857788
104,sick_train_4968,A man is snowboarding down a railing in the snow,A woman is snowboarding down a railing in the snow,0.76,0.7330374717712402
105,sick_train_4075,Three women are running in a village,Three women are sitting together near woven walls,0.4599999999999999,0.608442485332489
106,sick_train_493,A man is cutting a box,A box is being cut by a man,0.98,1.0363746881484983
107,sick_train_6724,"A girl, who is little, is playing a grand piano on stage",A little girl is playing a grand piano on stage,0.96,0.8953990936279297
108,sts_train_3469,"the conventional forces in europe treaty limits the number of military aircraft, tanks and other non-nuclear heavy weapons in europe. ",the conventional forces in europe treaty was signed by russian and nato members in 1990.,0.5599999999999999,0.5081649422645569
109,sick_train_3740,A person is peeling a banana,There is no man reading an email,0.22,0.2207832634449005
110,sts_train_3223,"On Sunday, a U.S. soldier was killed and another injured in southern Iraq when a munitions dump exploded.","On Sunday, a U.S. soldier was killed and another injured when a munitions dump they were guarding exploded in southern Iraq.",0.75,0.6982646584510803
111,sts_train_1956,A child and two dogs play in the water.,A child in red and blue floaties looking down at the water.,0.44,0.5407726168632507
112,sts_train_4268,New Syria opposition chief wants no-strings aid,Syria opposition unites as Israel fires warning shots,0.2,0.2490756511688232
113,sick_train_3050,Two boys are doing martial arts on a blue mat,Two boys in white outfits and red protective gear are sparring on a mat,0.6799999999999999,0.7745694518089294
114,sts_train_4642,The e-mails - Oil firm asked trader about meeting with minister,Oil firm asked rogue trader about meeting with minister,0.8400000000000001,0.8710934519767761
115,sick_train_4650,There is no hiker dancing on top of the mountain,A man is on a rock high above some trees and is standing in a strange position,0.48,0.5938916802406311
116,sick_train_2688,A dog is herding a group of white sheep on a dusty farm,A dog is herding a pack of white sheep on a dusty farm,1.0,1.044853687286377
117,sick_train_3839,There is no woman slicing a potato,A woman is slicing a potato,0.78,0.8229737281799316
118,sts_train_3807,Navy Jet Crashes Into Apartment Building,US Navy Jet Crashes into Apartment Block,0.8400000000000001,0.8690123558044434
119,sts_train_2552,"They passed through the Lemelson Medical, Educational and Research Foundation Limited Partnership in 2001 to Syndia.","It said the patents were ""allegedly"" assigned to Syndia in 2001 through the Lemelson Medical, Educational and Research Foundation Limited Partnership.",0.48,0.3647098839282989
120,sick_train_4333,A blond girl is riding the waves,A blond girl waves while she is riding,0.64,0.7987330555915833
121,sts_train_2491,Shares of Hartford rose $2.88 to $46.50 in New York Stock Exchange composite trading.,"Shares of Hartford were up $2.28, or 5.2 percent, to $45.90 in midday trading.",0.5,0.6074345111846924
122,sick_train_1679,A boy in a blue shirt has dirt on his face,A blond child is holding a yellow bottle,0.36,0.4165686964988708
123,sts_train_2910,"At 5 p.m. EDT, Grace's center was near latitude 25.6 north, longitude 93.7 west or about 280 miles east-southeast of Corpus Christi.","At 11 a.m. EDT, Fabian's center was near latitude 18.1 north and longitude 53.2 west, or about 550 miles east of the Leewards.",0.25,0.3057504892349243
124,sts_train_1139,A women sitting in a chair at Christmas holding make up.,A train sitting on the tracks in a train yard.,0.0,0.0555101409554481
125,sts_train_266,A dog is barking at a ball.,A dog swims after a tennis ball.,0.3,0.461252897977829
126,sts_train_2847,British police arrested 21 people early Tuesday in connection with the suspected ritual murder of an African boy whose torso was found in the Thames River.,Police have arrested 21 people in connection with the murder of a young Nigerian child whose headless and limbless torso was found floating in the river Thames.,0.7000000000000001,0.6855595707893372
127,sick_train_5038,One truck is quickly going down the hill,A truck is quickly going down a hill,0.98,0.9088966250419616
128,sts_train_3279,"He urged Congress to ""send me the final bill as soon as possible so that I can sign it into law.""","""I urge Congress to quickly resolve any differences and send me the final bill as soon as possible so that I can sign it into law,"" he said.",0.92,0.8931424617767334
129,sick_train_3068,Two women with dogs are walking on a forest path,Two men with dogs are walking on a forest path,0.8,0.7509795427322388
130,sts_train_278,A man is rowing a boat.,A man is shooting off a gun.,0.17,0.2149383723735809
131,sick_train_6742,"A black, red, white and pink dress is being worn by a woman","A woman is taking off a cloak, which is very large, and revealing extravagant apparel",0.5599999999999999,0.5856338143348694
132,sts_train_3916,No blocks to investment,India allows Pakistan investment,0.4,0.578307032585144
133,sick_train_4429,Bread is being sliced by the man,The woman is slicing herbs,0.36,0.5055015087127686
134,sick_train_6810,Nobody is dangling from straps and kicking at each other,A blonde girl is hanging by gymnastic ropes,0.5,0.561598002910614
135,sick_train_5365,Two dogs are wrestling and hugging,A brown dog is helping another animal in front of the man in pants,0.4599999999999999,0.5489560961723328
136,sick_train_2040,The girl is spraying the plants with water,The boy is spraying the plants with water,0.6799999999999999,0.718465268611908
137,sick_train_5623,The boy in blue shirt is looking at his hand near the stack of blocks on table,A boy is playing a game with wooden blocks,0.62,0.6441271305084229
138,sick_train_1479,There is no little girl playing the piano,A little girl is playing the piano,0.7,0.790547251701355
139,sts_train_4789,Protests sweep Brazil despite concession,Protests planned across Brazil despite concessions,0.8,0.7393333315849304
140,sts_train_3559,the russian foreign ministry stated that russia has not suspended dialogue. ,russian officials stated that russia will not reconsider the suspension.,0.52,0.5648802518844604
141,sts_train_2643,A beauty contest to be held in Italy next week may be the first for pixel-perfect pin-ups.,A new beauty contest kicking off in Italy next week will give pixel-perfect pin-ups the chance to steal sultry Sophia's sex-symbol status.,0.65,0.6462216377258301
142,sick_train_2458,A man doing a pose is being watched by another man,"A man in a purple shirt is dying another shirt black, which has a man looking at a dog doing a funny face painted on it.",0.38,0.387115329504013
143,sick_train_460,A pan is being dropped over the meat,The meat is being dropped into a pan,0.7070000000000001,0.8094776272773743
144,sick_train_4181,The woman in a red costume is not leaning against a brick wall and is not playing an instrument,A woman in a red dress is playing an instrument,0.78,0.7513766884803772
145,sick_train_1594,A small child in a pink sweater is climbing a concrete staircase,A small child is lying outdoors in a grassy area,0.44,0.5368178486824036
146,sick_train_640,The muscular black man is dancing and the man behind him is wearing green beads,The muscular man is dancing and the man behind him is wearing green beads,0.8800000000000001,0.8414726853370667
147,sick_train_3414,A brown and white dog is catching a dirty tennis ball in a dirt field,A brown and white dog is biting a dirty tennis ball in a dirt field,0.82,0.7614206671714783
148,sts_train_4440,"India gang-rape victim ""struggling against the odds""",Indian rape victim dies in Singapore hospital,0.36,0.4496736228466034
149,sts_train_2189,"@Lustig Andrei, So Lyndon Johnson and John Kennedy were compatible?","@edgarblythe, So Lyndon Johnson and John Kennedy were compatible?",0.8800000000000001,0.9301720261573792
150,sts_train_4376,Matt Smith to leave Doctor Who after 4 years,Matt Smith quits BBC’s Doctor Who,0.8,0.7331805229187012
151,sts_train_337,A man is playing a guitar.,A woman is cutting vegetable.,0.0,0.0183844938874244
152,sick_train_1328,The man is playing a guitar,A guitar is being played by the man,0.98,1.064685344696045
153,sts_train_4839,Pictures of the day: 7 August 2013,Picture of the Day,0.5599999999999999,0.6075660586357117
154,sts_train_5056,Relief in Boston as second suspect captured,Police confirm how suspect was captured,0.48,0.5176783800125122
155,sts_train_4907,Typhoon survivors raid Philippine stores,Typhoon Bopha kills 15 in S. Philippines,0.24,0.2355445027351379
156,sts_train_2928,"The woman was hospitalized June 15, Kansas health officials said.",Missouri health officials said he had not been hospitalized and is recovering.,0.2,0.2345007956027984
157,sts_train_69,A man is dancing.,A man is talking.,0.12,0.1985099017620086
158,sts_train_225,A woman is dancing.,A woman is kneading dough.,0.08,0.0788594633340835
159,sts_train_4887,EU renews sanctions against Zimbabwe,EU lifts diamond sanctions against Zimbabwe,0.6000000000000001,0.6863259077072144
160,sick_train_3343,One man is climbing a rock wall and another man is holding a rope,One man is climbing a wall made of rock and another man is holding a rope,0.98,0.9497072100639344
161,sts_train_2696,"He will replace Ron Dittemore, who announced his resignation April 23.",Dittemore announced his plans to resign on April 23.,0.52,0.5059041380882263
162,sick_train_2484,A dog is chasing a ball,There is no dog chasing a ball,0.72,0.8288370370864868
163,sts_train_2546,"The 30-year bond US30YT=RR jumped 20/32, taking its yield to 4.14 percent from 4.18 percent.",The 30-year bond US30YT=RR dipped 14/32 for a yield of 4.26 percent from 4.23 percent.,0.4,0.4006087481975555
164,sick_train_5980,A cat is not crawling under a piece of furniture,A cat is crawling under a piece of furniture,0.76,0.813676118850708
165,sick_train_2816,The boy is cutting the grass by the curb with scissors,The boy is not cutting the grass by the curb with scissors,0.76,0.8266133069992065
166,sts_train_437,Two teams are playing soccer.,Different sets of teams are playing football on a field.,0.5,0.5313674807548523
167,sts_train_4350,6.8 quake strikes off Solomon Islands,Magnitude 6.3 quake strikes off Solomon Islands: USGS,0.6400000000000001,0.6032512784004211
168,sts_train_3127,They also found shortness was associated with a family history of hearing loss.,Shortness was found twice as often in those with hearing loss.,0.68,0.7100338339805603
169,sick_train_5597,Some sticky goo is being pulled out of a bowl by a woman,A woman is pulling some sticky goo out of a bowl,1.0,1.0526537895202637
170,sick_train_190,The man is doing floor exercises,One man is doing floor exercises,0.98,0.9391339421272278
171,sts_train_1186,Two brown horses standing in grassy field.,Two men sailing in a small sailboat.,0.0,0.0582023113965988
172,sts_train_3387,But the cancer society said its study had been misused.,The American Cancer Society and several scientists said the study was flawed in several ways.,0.45,0.4222336709499359
173,sick_train_80,A seated woman is singing a song and playing the guitar,A woman on a rock is standing and looking around,0.3399999999999999,0.4128647744655609
174,sts_train_3887,Former Nazi death camp guard Demjanjuk dead at 91,"John Demjanjuk, convicted Nazi death camp guard, dies aged 91",0.92,0.9746426939964294
175,sts_train_4164,Putin casts ballot as Russians vote,Putin to win Russia's presidential election,0.2799999999999999,0.2836406528949737
176,sts_train_2410,my hair is pretty thing tho :/ Quote: Ditto.,my hair is pretty thing tho :/ woops!,0.76,0.8413835167884827
177,sts_train_662,A man stares out a window.,A man looks out the window.,0.96,0.9406615495681764
178,sick_train_4050,A girl has colored patches on the cheeks,A girl is standing in a group and is wearing a black shirt and pink beads,0.48,0.546048104763031
179,sick_train_1731,A little child in a pink sweater is climbing a concrete staircase,A small child is outdoors climbing steps in a grassy area,0.7,0.7699064016342163
180,sts_train_1223,A yellow and blue airplane is flying in the sky.,Nine red and white aircraft flying in formation trailing smoke.,0.2,0.3129817843437195
181,sts_train_847,A large bird standing on a table picks up a plastic glass containing liquid and places it in a bowl of something.,A bird picks up a plastic cup containing a liquid with it's beak and puts the cup into a bowl.,0.7000000000000001,0.7467215061187744
182,sts_train_3537,jewish-american group the anti-defamation league (adl) published full-page advertisements in swiss and international papers in april 2008 accusing switzerland of funding terrorism through the deal. ,the anti-defamation league took out full-page advertisments in swiss and international newspapers earlier in april 2008 accusing switzerland of funding terrorism through the deal.,0.8800000000000001,0.8452015519142151
183,sick_train_4440,A man in blue is riding a animal on a dirt road,A man in a blue cowboy hat is riding a white horse,0.6799999999999999,0.7112550139427185
184,sts_train_2194,"Capital gains, top rate:  percent.","Income tax, top rate:  percent.",0.48,0.4661899209022522
185,sick_train_3854,A man is running down the road,A man is standing still,0.54,0.5587655305862427
186,sick_train_2692,A man is standing on the top of a roof and playing a violin,A man is dancing on a roof ,0.64,0.6657385230064392
187,sts_train_4651,Seven peacekeepers killed in Sudan's Darfur,Peacekeeper killed in Abyei clash,0.32,0.3063844442367553
188,sick_train_3220,The fish is following the turtle,A sea turtle is hunting for fish,0.64,0.6680010557174683
189,sick_train_851,A man is shooting a shotgun,There is no man shooting a shotgun,0.64,0.8394206166267395
190,sts_train_5488,"World News Update, what you need to know",Labour's 50p tax rate: what you need to know,0.12,0.2069207429885864
191,sick_train_2352,A man is standing beside a birdcage which is large and colorful,A man is standing beside a large and colorful birdcage,0.96,0.9642748236656188
192,sick_train_4303,A brown dog is running in the snow,A dog is running through the white snow,0.86,0.9094472527503968
193,sick_train_1951,Some furious racers on the green grass are yelling at the horses jumping an obstacle,"The Jockeys are racing horses on the field, which is completely green",0.5599999999999999,0.5323231816291809
194,sick_train_6098,There is no large dog running on the grass with a tennis ball in its mouth,A large dog is running on the grass with a tennis ball in its mouth,0.7,0.8579891324043274
195,sick_train_750,The man is not putting chicken into the container,A man is putting some food in a box,0.74,0.7245238423347473
196,sick_train_1666,A woman is taking off eyeshadow,A woman is putting on eyeshadow,0.72,0.8119645118713379
197,sick_train_3286,A woman is pulling some sticky goo out of a bowl,A woman is putting some sticky goo in a bowl,0.6799999999999999,0.6882551312446594
198,sick_train_6511,A boy in a red shirt is in front of a long blue wall and is suspiciously raising an eyebrow at the camera,A boy is standing in front of the blue building in the space reserved for handicapped people,0.48,0.5030118227005005
199,sts_train_1421,A black and white image of a cat laying on a rug.,Black and white picture of a cat laying on a rug.,1.0,1.027416467666626
200,sts_train_1542,A tent and a campsite in a sunlit forest.,A white dog on a beach is carrying a stick in its mouth.,0.0,0.0757147520780563
201,sts_train_201,Someone is feeding a animal.,Someone is playing a piano.,0.0,0.0820376053452491
202,sts_train_2181,Tell us what the charges were.,Yes what are his charges.,0.8,0.8893384337425232
203,sick_train_1307,A woman is staging a dance,A woman is dancing on a stage,0.5599999999999999,0.7159480452537537
204,sick_train_3757,A person is wearing a blue shirt and walking barefoot on a tennis court,A barefoot man in pajamas is looking toward the sky and is walking on the tennis court,0.74,0.7179514765739441
205,sick_train_2104,A horse is racing,A horse is not racing,0.62,0.8109206557273865
206,sick_train_39,A cow is eating hay,A cow is grazing,0.8400000000000001,0.9011271595954896
207,sick_train_1860,A man is crouching and holding a camera,A person is crouching and holding a camera,0.92,0.9949864745140076
208,sick_train_3322,The cat is running across the gravel,The dog is running across the gravel,0.6799999999999999,0.7021315097808838
209,sts_train_1548,A tan dog jumps up to catch a tennis ball.,A red dog jumps an catches a tennis ball in its mouth.,0.6000000000000001,0.6632047295570374
210,sick_train_697,A sea turtle is hunting for fish,A sea turtle is hunting for food,0.9,0.9224490523338318
211,sick_train_2202,The lady is measuring the ankle of another woman,The woman is measuring the other woman,0.94,0.934330403804779
212,sick_train_3298,A black and white dog is playing with a tattered volleyball in a brown field,A black and white dog is playing with a frisbee in a brown field,0.6599999999999999,0.5962294340133667
213,sts_train_4791,South Korean Workers Start Leaving Joint Factory Zone,South Korean workers set to leave joint factory zone,0.76,0.8008995652198792
214,sick_train_2783,The man in a cowboy hat is walking through a market and is putting a hand in his pocket,A walker is in a hat store for men,0.38,0.4939434230327606
215,sick_train_1186,A man is using a knife to open a box,A man is playing a guitar,0.26,0.1870735138654709
216,sick_train_547,A big brown and white spotted dog is lying on a jacket on the street,The dog is having a nap in the park,0.58,0.590822160243988
217,sts_train_5032,Red Sox beat Tigers to reach World Series,Red Sox beat Tigers 5-2 to advance to World Series,0.8800000000000001,0.8593156933784485
218,sick_train_5264,One man is riding a horse,A man is riding a horse,0.94,0.9548779129981996
219,sick_train_3862,A woman is wearing an Egyptian headdress,An Egyptian is wearing a woman's headdress,0.78,0.8892280459403992
220,sts_train_2723,"With the power back on, state workers headed back to their jobs Friday morning.","Pataki said if power was restored, state workers would be back on the job Friday morning.",0.52,0.5183374881744385
221,sts_train_141,someone is slicing a vegetable.,Someone is slicing a tomato.,0.6000000000000001,0.7711647748947144
222,sts_train_2147,Read More: You have never met anyone that is Pro-Abortion?,You have never met anyone that is Pro-Abortion?,0.96,0.9464420676231384
223,sts_train_3801,22 dead in suicide attack on Yemen police academy,AU forces intensify attack on Somali rebels,0.08,0.1969504952430725
224,sts_train_5405,Iran says ready for fresh round of nuclear talks,Iran's Khamenei renews support for nuclear talks,0.7200000000000001,0.7833788394927979
