id,s1,s2,score
sick_train_4918,"['two', 'white', 'dog', 'play', 'brown', 'dog', 'tenni', 'ball']","['two', 'white', 'dog', 'play', 'brown', 'dog', 'ball']",0.94
sick_train_2592,"['white', 'dog', 'stand', 'fallen', 'leaf']","['one', 'white', 'dog', 'stand', 'leaf', 'ground']",0.9
sick_train_5696,"['two', 'white', 'dog', 'run', 'togeth']","['two', 'white', 'dog', 'run', 'togeth']",0.6799999999999999
sick_train_5767,"['woman', 'put', 'makeup']","['woman', 'put', 'makeup']",0.96
sick_train_3470,"['group', 'peopl', 'gather', 'stand', 'fair']","['group', 'peopl', 'gather', 'stand', 'fair']",0.92
sick_train_5117,"['larg', 'dog', 'small', 'dog', 'stand', 'next', 'kitchen', 'counter', 'investig']","['larg', 'dog', 'small', 'dog', 'stand', 'kitchen', 'counter', 'investig']",0.8800000000000001
sick_train_2766,"['man', 'drink', 'orang', 'juic', 'walk', 'sunni', 'day']","['man', 'drink', 'orang', 'juic', 'walk', 'sunni', 'day']",0.74
sick_train_467,"['two', 'boy', 'martial', 'art', 'blue', 'mat']","['two', 'child', 'white', 'outfit', 'red', 'protect', 'gear', 'sit', 'mat']",0.62
sts_train_872,"['man', 'fri', 'tortilla']","['person', 'perform', 'card', 'trick']",0.0
sick_train_1635,"['child', 'splash', 'pool', 'child', 'kid', 'play', 'background']","['child', 'splash', 'pool', 'child', 'child', 'play', 'background']",0.98
sts_train_1094,"['two', 'cat', 'sit', 'togeth', 'sofa', 'look', 'window']","['two', 'cat', 'look', 'window']",0.76
sick_train_6093,"['man', 'miss', 'soccer', 'ball']","['man', 'perform', 'trick', 'soccer', 'ball']",0.7
sick_train_6913,"['men', 'play', 'soccer']","['man', 'ride', 'motorcycl']",0.3
sts_train_455,"['man', 'slice', 'pepper']","['person', 'cut', 'big', 'green', 'pepper', 'apart']",0.76
sts_train_3256,"['mdc', 'call', 'strike', 'forc', 'mr', 'mugab', 'either', 'resign', 'negoti', 'settlement', 'zimbabw', 'crisi']","['mdc', 'call', 'weeklong', 'protest', 'urg', 'mugab', 'either', 'resign', 'negoti', 'settlement', 'crisi', 'grip', 'countri']",0.8
sick_train_3666,"['man', 'white', 'moustach', 'stand', 'balconi', 'look', 'road']","['man', 'lean', 'ledg', 'balconi']",0.76
sts_train_3372,"['pennsylvania', 'aggress', 'treatment', 'program', 'treat', 'num', 'num', 'inmat']","['texa', 'three', 'time', 'michigan', 'inmat', 'popul', 'treat', 'num', 'num', 'infect', 'inmat']",0.2666
sts_train_5574,"['red', 'sox', 'beat', 'tiger', 'num', 'advanc', 'world', 'seri']","['red', 'sox', 'beat', 'tiger', 'reach', 'world', 'seri']",0.8
sick_train_3291,"['woman', 'sit', 'near', 'flower', 'bed', 'overlook', 'tunnel']","['two', 'peopl', 'sit', 'bench']",0.36
sick_train_1065,"['man', 'play', 'drum']","['man', 'play', 'guitar']",0.5599999999999999
sick_train_4318,"['man', 'lift', 'weight']","['weight', 'lift', 'man']",0.98
sts_train_3480,"['human', 'right', 'violat', 'myanmar', 'includ', 'summari', 'execut', 'tortur', 'recruit', 'child', 'soldier']","['human', 'right', 'violat', 'includ', 'summari', 'execut', 'tortur', 'recruit', 'child']",0.8400000000000001
sick_train_2653,"['girl', 'fall', 'asleep']","['girl', 'wake']",0.6799999999999999
sick_train_5466,"['man', 'skateboard', 'trick', 'park', 'porch']","['man', 'trick', 'skateboard']",0.8800000000000001
sts_train_650,"['woman', 'dice', 'onion']","['woman', 'cut', 'onion']",0.8800000000000001
sick_train_11,"['coupl', 'policewoman', 'sing', 'karaok']","['two', 'woman', 'danc']",0.42
sts_train_1784,"['red', 'white', 'race', 'car', 'race', 'dirt', 'racetrack']","['person', 'ride', 'dirt', 'bike', 'race', 'dirt', 'track']",0.2799999999999999
sick_train_3971,"['two', 'woman', 'wear', 'bikini', 'walk', 'sand']","['woman', 'wear', 'bikini', 'sandi', 'beach']",0.7
sts_train_4227,"['germani', 'warn', 'greec', 'money', 'without', 'reform']","['euro', 'zone', 'greec', 'rescu', 'without', 'reform']",0.52
sts_train_5222,"['obama', 'condemn', 'egypt', 'violenc', 'cancel', 'militari', 'exercis']","['pakistan', 'condemn', 'violenc', 'egypt']",0.16
sts_train_2215,"['thought', 'mostli', 'dutch']","['mostli', 'dutch']",0.8
sts_train_2233,"['irreligion', 'problem']","['religion', 'doesnt', 'dont', 'problem']",0.32
sts_train_2234,"['im', 'angri', 'show', 'one', 'scan']","['im', 'hyper', 'activ', 'show', 'one', 'scan']",0.6400000000000001
sick_train_1326,"['hors', 'rider', 'leap', 'barrier']","['hors', 'leap', 'hurdl', 'rider', 'back']",0.92
sts_train_3529,"['cambodia', 'vietnam', 'final', 'agreement', 'stop', 'asian', 'european', 'drug', 'traffick']","['syrian', 'russian', 'offici', 'sign', 'agreement', 'cooper', 'combat', 'drug', 'traffick']",0.4
sick_train_4572,"['potato', 'slice', 'person']","['person', 'play', 'piano']",0.237
sick_train_5872,"['man', 'cut', 'cord', 'sword']","['man', 'cut', 'rope', 'sword']",0.9
sts_train_2535,"['prosecutor', 'contend', 'mr', 'durst', 'plot', 'murder', 'assum', 'mr', 'black', 'ident']","['prosecutor', 'maintain', 'durst', 'murder', 'black', 'tri', 'assum', 'black', 'ident']",0.95
sick_train_5101,"['cat', 'slide', 'upsid', 'couch']","['cat', 'crawl', 'piec', 'furnitur']",0.6799999999999999
sick_train_4069,"['small', 'dog', 'walk', 'outsid', 'carri', 'color', 'toy', 'mouth']","['larg', 'dog', 'walk', 'outsid', 'carri', 'color', 'toy', 'mouth']",0.72
sts_train_3177,"['knight', 'agre', 'twoyear', 'num', 'million', 'contract', 'includ', 'num', 'sign', 'bonu']","['espn', 'report', 'knight', 'twoyear', 'deal', 'worth', 'num', 'million', 'includ', 'num', 'sign', 'bonu']",0.95
sick_train_5346,"['dog', 'bark', 'ball']","['cat', 'swim', 'tenni', 'ball']",0.44
sick_train_3492,"['man', 'isnt', 'toss', 'kid', 'swim', 'pool', 'near', 'ocean']","['man', 'toss', 'kid', 'swim', 'pool', 'near', 'ocean']",0.7
sts_train_4377,"['gener', 'divid', 'gay', 'marriag']","['gnum', 'summit', 'end', 'divid', 'syria']",0.0
sick_train_138,"['two', 'dog', 'run', 'quickli', 'park']","['two', 'dog', 'run', 'quickli', 'park']",1.0
sts_train_3820,"['isra', 'air', 'strike', 'kill', 'num', 'gaza']","['israel', 'air', 'strike', 'kill', 'num', 'gaza', 'death', 'toll', 'num']",0.44
sick_train_4958,"['surfer', 'black', 'wetsuit', 'ride', 'foami', 'wave']","['surfer', 'surf', 'huge', 'wave']",0.82
sts_train_5402,"['glee', 'star', 'cori', 'monteith', 'found', 'dead', 'hotel', 'room', 'canada']","['glee', 'star', 'cori', 'monteith', 'found', 'dead']",0.8800000000000001
sts_train_4148,"['least', 'num', 'dead', 'northwest', 'iran', 'quak']","['num', 'dead', 'num', 'injur', 'northwest', 'iran', 'earthquak']",0.52
sick_train_2760,"['person', 'peel', 'banana']","['banana', 'peel', 'person']",0.98
sts_train_761,"['woman', 'scrape', 'carrot']","['man', 'strike', 'clay', 'pot']",0.0
sts_train_4217,"['china', 'mine', 'accid', 'kill', 'num']","['china', 'truck', 'accid', 'kill', 'num']",0.32
sick_train_2812,"['boy', 'play', 'trampolin']","['child', 'jump', 'trampolin']",0.8800000000000001
sts_train_1647,"['two', 'terrier', 'play', 'wood', 'floor', 'home']","['two', 'puppi', 'play', 'red', 'chew', 'toy', 'field']",0.32
sts_train_3273,"['perri', 'call', 'lawmak', 'two', 'special', 'session', 'address', 'congression', 'redistrict']","['perri', 'sinc', 'call', 'two', 'special', 'legisl', 'session', 'tri', 'forc', 'redistrict', 'plan']",0.75
sick_train_6052,"['small', 'boy', 'shirt', 'yellow', 'laugh', 'beach']","['small', 'boy', 'yellow', 'shirt', 'laugh', 'beach']",1.0
sick_train_796,"['dog', 'black', 'coat', 'run', 'grass', 'tongu', 'hang']","['black', 'dog', 'run', 'grass']",0.8800000000000001
sts_train_1596,"['bloodi', 'man', 'woman', 'pose', 'pictur']","['man', 'woman', 'dress', 'warmli', 'pose', 'pictur']",0.4
sick_train_4887,"['famili', 'pose', 'mantel', 'christma', 'tree']","['happi', 'famili', 'pose', 'fireplac']",0.78
sts_train_2771,"['today', 'tri', 'convey', 'problem', 'russian', 'presid', 'vladimir', 'putin', 'u', 'presid', 'georg', 'w', 'bush']","['today', 'tri', 'convey', 'problem', 'russian', 'presid', 'vladimir', 'putin', 'news', 'web', 'site', 'presid', 'bush', 'news', 'web', 'site']",0.92
sick_train_1461,"['man', 'eat', 'banana']","['man', 'eat', 'banana', 'tree']",0.8
sick_train_5854,"['man', 'woman', 'two', 'girl', 'walk', 'beach']","['group', 'peopl', 'mountain']",0.2799999999999999
sick_train_2737,"['mud', 'cover', 'topless', 'woman']","['topless', 'woman', 'cover', 'mud']",1.0
sts_train_509,"['girl', 'sing', 'stage']","['man', 'sing', 'stage']",0.5599999999999999
sts_train_804,"['woman', 'ad', 'spice', 'meat']","['woman', 'add', 'ingredi', 'beef']",0.75
sts_train_187,"['orangutan', 'ride', 'bu']","['monkey', 'ride', 'bu']",0.7200000000000001
sts_train_2398,"['problem', 'isnt', 'money']","['problem', 'doesnt', 'money']",0.493333333333334
sick_train_4328,"['woman', 'handl', 'frog']","['person', 'hold', 'frog']",0.8400000000000001
sick_train_2746,"['larg', 'wet', 'yellow', 'dog', 'retriev', 'toy']","['dog', 'catch', 'white', 'frisbe']",0.62
sts_train_2984,"['howev', 'decid', 'opt', 'european', 'consortium', 'engin', 'best', 'overal', 'solut', 'due', 'substanti', 'price', 'effort', 'made']","['howev', 'decid', 'opt', 'european', 'consortium', 'engin', 'best', 'overal', 'solut']",0.76
sick_train_3211,"['shirtless', 'man', 'escort', 'hors', 'pull', 'carriag', 'along', 'pave', 'road']","['shirtless', 'man', 'lead', 'carriag', 'pull', 'hors']",0.92
sts_train_1686,"['man', 'dog', 'rocki', 'seashor']","['man', 'dog', 'stand', 'rock', 'next', 'water']",0.96
sts_train_2419,"['origin', 'post', 'jacko']","['origin', 'post', 'izzi']",0.24
sick_train_5809,"['someon', 'bang', 'camera', 'len', 'nail']","['oil', 'pour', 'tomato', 'man']",0.2
sick_train_1005,"['woman', 'stir', 'egg', 'bowl']","['ladi', 'stir', 'egg', 'bowl']",0.98
sick_train_883,"['man', 'speak', 'stage']","['podium', 'man', 'speak']",0.8
sts_train_476,"['woman', 'slice', 'onion', 'knife']","['man', 'prepar', 'dish']",0.25
sts_train_908,"['meat', 'drop', 'pan']","['woman', 'put', 'meat', 'pan']",0.65
sick_train_2527,"['black', 'dog', 'run', 'grass']","['black', 'dog', 'run', 'grass']",0.62
sts_train_1267,"['blue', 'bird', 'perch', 'glove', 'hand', 'person']","['bird', 'perch', 'person', 'glove', 'hand']",0.8400000000000001
sts_train_1600,"['young', 'boy', 'jump', 'pool', 'outstretch', 'arm']","['dog', 'jump', 'backyard', 'pool']",0.24
sick_train_4338,"['person', 'ride', 'hors']","['woman', 'slice', 'potato']",0.2
sts_train_1828,"['black', 'dog', 'bite', 'light', 'brown', 'dog', 'ear', 'play', 'manner']","['black', 'dog', 'play', 'bit', 'anoth', 'dog', 'live', 'room', 'set']",0.8
sick_train_217,"['one', 'man', 'intens', 'play', 'guitar']","['man', 'intens', 'play', 'guitar']",0.96
sick_train_4781,"['yellow', 'dog', 'drink', 'water', 'faucet']","['yellow', 'dog', 'drink', 'water', 'bottl']",0.76
sick_train_846,"['young', 'woman', 'indian', 'cloth', 'henna', 'hand', 'go', 'paperwork']","['girl', 'indian', 'cloth', 'henna', 'hand', 'go', 'paperwork']",0.96
sick_train_5776,"['dog', 'bounc', 'trampolin']","['dog', 'jump', 'trampolin']",0.74
sick_train_3680,"['woman', 'put', 'cloak', 'larg', 'conceal', 'extravag', 'dress']","['black', 'red', 'white', 'pink', 'dress', 'worn', 'woman']",0.64
sick_train_4968,"['man', 'snowboard', 'rail', 'snow']","['woman', 'snowboard', 'rail', 'snow']",0.76
sick_train_4075,"['three', 'woman', 'run', 'villag']","['three', 'woman', 'sit', 'togeth', 'near', 'woven', 'wall']",0.4599999999999999
sick_train_493,"['man', 'cut', 'box']","['box', 'cut', 'man']",0.98
sick_train_6724,"['girl', 'littl', 'play', 'grand', 'piano', 'stage']","['littl', 'girl', 'play', 'grand', 'piano', 'stage']",0.96
sts_train_3469,"['convent', 'forc', 'europ', 'treati', 'limit', 'number', 'militari', 'aircraft', 'tank', 'nonnuclear', 'heavi', 'weapon', 'europ']","['convent', 'forc', 'europ', 'treati', 'sign', 'russian', 'nato', 'member', 'num']",0.5599999999999999
sick_train_3740,"['person', 'peel', 'banana']","['man', 'read', 'email']",0.22
sts_train_3223,"['sunday', 'u', 'soldier', 'kill', 'anoth', 'injur', 'southern', 'iraq', 'munit', 'dump', 'explod']","['sunday', 'u', 'soldier', 'kill', 'anoth', 'injur', 'munit', 'dump', 'guard', 'explod', 'southern', 'iraq']",0.75
sts_train_1956,"['child', 'two', 'dog', 'play', 'water']","['child', 'red', 'blue', 'floati', 'look', 'water']",0.44
sts_train_4268,"['new', 'syria', 'opposit', 'chief', 'want', 'nostr', 'aid']","['syria', 'opposit', 'unit', 'israel', 'fire', 'warn', 'shot']",0.2
sick_train_3050,"['two', 'boy', 'martial', 'art', 'blue', 'mat']","['two', 'boy', 'white', 'outfit', 'red', 'protect', 'gear', 'spar', 'mat']",0.6799999999999999
sts_train_4642,"['email', 'oil', 'firm', 'ask', 'trader', 'meet', 'minist']","['oil', 'firm', 'ask', 'rogu', 'trader', 'meet', 'minist']",0.8400000000000001
sick_train_4650,"['hiker', 'danc', 'top', 'mountain']","['man', 'rock', 'high', 'tree', 'stand', 'strang', 'posit']",0.48
sick_train_2688,"['dog', 'herd', 'group', 'white', 'sheep', 'dusti', 'farm']","['dog', 'herd', 'pack', 'white', 'sheep', 'dusti', 'farm']",1.0
sick_train_3839,"['woman', 'slice', 'potato']","['woman', 'slice', 'potato']",0.78
sts_train_3807,"['navi', 'jet', 'crash', 'apart', 'build']","['u', 'navi', 'jet', 'crash', 'apart', 'block']",0.8400000000000001
sts_train_2552,"['pass', 'lemelson', 'medic', 'educ', 'research', 'foundat', 'limit', 'partnership', 'num', 'syndia']","['said', 'patent', 'allegedli', 'assign', 'syndia', 'num', 'lemelson', 'medic', 'educ', 'research', 'foundat', 'limit', 'partnership']",0.48
sick_train_4333,"['blond', 'girl', 'ride', 'wave']","['blond', 'girl', 'wave', 'ride']",0.64
sts_train_2491,"['share', 'hartford', 'rose', 'num', 'num', 'new', 'york', 'stock', 'exchang', 'composit', 'trade']","['share', 'hartford', 'num', 'num', 'percent', 'num', 'midday', 'trade']",0.5
sick_train_1679,"['boy', 'blue', 'shirt', 'dirt', 'face']","['blond', 'child', 'hold', 'yellow', 'bottl']",0.36
sts_train_2910,"['num', 'pm', 'edt', 'grace', 'center', 'near', 'latitud', 'num', 'north', 'longitud', 'num', 'west', 'num', 'mile', 'eastsoutheast', 'corpu', 'christi']","['num', 'edt', 'fabian', 'center', 'near', 'latitud', 'num', 'north', 'longitud', 'num', 'west', 'num', 'mile', 'east', 'leeward']",0.25
sts_train_1139,"['woman', 'sit', 'chair', 'christma', 'hold', 'make']","['train', 'sit', 'track', 'train', 'yard']",0.0
sts_train_266,"['dog', 'bark', 'ball']","['dog', 'swim', 'tenni', 'ball']",0.3
sts_train_2847,"['british', 'polic', 'arrest', 'num', 'peopl', 'earli', 'tuesday', 'connect', 'suspect', 'ritual', 'murder', 'african', 'boy', 'whose', 'torso', 'found', 'thame', 'river']","['polic', 'arrest', 'num', 'peopl', 'connect', 'murder', 'young', 'nigerian', 'child', 'whose', 'headless', 'limbless', 'torso', 'found', 'float', 'river', 'thame']",0.7000000000000001
sick_train_5038,"['one', 'truck', 'quickli', 'go', 'hill']","['truck', 'quickli', 'go', 'hill']",0.98
sts_train_3279,"['urg', 'congress', 'send', 'final', 'bill', 'soon', 'possibl', 'sign', 'law']","['urg', 'congress', 'quickli', 'resolv', 'differ', 'send', 'final', 'bill', 'soon', 'possibl', 'sign', 'law', 'said']",0.92
sick_train_3068,"['two', 'woman', 'dog', 'walk', 'forest', 'path']","['two', 'men', 'dog', 'walk', 'forest', 'path']",0.8
sts_train_278,"['man', 'row', 'boat']","['man', 'shoot', 'gun']",0.17
sick_train_6742,"['black', 'red', 'white', 'pink', 'dress', 'worn', 'woman']","['woman', 'take', 'cloak', 'larg', 'reveal', 'extravag', 'apparel']",0.5599999999999999
sts_train_3916,"['block', 'invest']","['india', 'allow', 'pakistan', 'invest']",0.4
sick_train_4429,"['bread', 'slice', 'man']","['woman', 'slice', 'herb']",0.36
sick_train_6810,"['nobodi', 'dangl', 'strap', 'kick']","['blond', 'girl', 'hang', 'gymnast', 'rope']",0.5
sick_train_5365,"['two', 'dog', 'wrestl', 'hug']","['brown', 'dog', 'help', 'anoth', 'anim', 'front', 'man', 'pant']",0.4599999999999999
sick_train_2040,"['girl', 'spray', 'plant', 'water']","['boy', 'spray', 'plant', 'water']",0.6799999999999999
sick_train_5623,"['boy', 'blue', 'shirt', 'look', 'hand', 'near', 'stack', 'block', 'tabl']","['boy', 'play', 'game', 'wooden', 'block']",0.62
sick_train_1479,"['littl', 'girl', 'play', 'piano']","['littl', 'girl', 'play', 'piano']",0.7
sts_train_4789,"['protest', 'sweep', 'brazil', 'despit', 'concess']","['protest', 'plan', 'across', 'brazil', 'despit', 'concess']",0.8
sts_train_3559,"['russian', 'foreign', 'ministri', 'state', 'russia', 'suspend', 'dialogu']","['russian', 'offici', 'state', 'russia', 'reconsid', 'suspens']",0.52
sts_train_2643,"['beauti', 'contest', 'held', 'itali', 'next', 'week', 'may', 'first', 'pixelperfect', 'pinup']","['new', 'beauti', 'contest', 'kick', 'itali', 'next', 'week', 'give', 'pixelperfect', 'pinup', 'chanc', 'steal', 'sultri', 'sophia', 'sexsymbol', 'statu']",0.65
sick_train_2458,"['man', 'pose', 'watch', 'anoth', 'man']","['man', 'purpl', 'shirt', 'die', 'anoth', 'shirt', 'black', 'man', 'look', 'dog', 'funni', 'face', 'paint']",0.38
sick_train_460,"['pan', 'drop', 'meat']","['meat', 'drop', 'pan']",0.7070000000000001
sick_train_4181,"['woman', 'red', 'costum', 'lean', 'brick', 'wall', 'play', 'instrument']","['woman', 'red', 'dress', 'play', 'instrument']",0.78
sick_train_1594,"['small', 'child', 'pink', 'sweater', 'climb', 'concret', 'staircas']","['small', 'child', 'lie', 'outdoor', 'grassi', 'area']",0.44
sick_train_640,"['muscular', 'black', 'man', 'danc', 'man', 'behind', 'wear', 'green', 'bead']","['muscular', 'man', 'danc', 'man', 'behind', 'wear', 'green', 'bead']",0.8800000000000001
sick_train_3414,"['brown', 'white', 'dog', 'catch', 'dirti', 'tenni', 'ball', 'dirt', 'field']","['brown', 'white', 'dog', 'bite', 'dirti', 'tenni', 'ball', 'dirt', 'field']",0.82
sts_train_4440,"['india', 'gangrap', 'victim', 'struggl', 'odd']","['indian', 'rape', 'victim', 'dy', 'singapor', 'hospit']",0.36
sts_train_2189,"['lustig', 'andrei', 'lyndon', 'johnson', 'john', 'kennedi', 'compat']","['edgarblyth', 'lyndon', 'johnson', 'john', 'kennedi', 'compat']",0.8800000000000001
sts_train_4376,"['matt', 'smith', 'leav', 'doctor', 'num', 'year']","['matt', 'smith', 'quit', 'bbc', 'doctor']",0.8
sts_train_337,"['man', 'play', 'guitar']","['woman', 'cut', 'veget']",0.0
sick_train_1328,"['man', 'play', 'guitar']","['guitar', 'play', 'man']",0.98
sts_train_4839,"['pictur', 'day', 'num', 'august', 'num']","['pictur', 'day']",0.5599999999999999
sts_train_5056,"['relief', 'boston', 'second', 'suspect', 'captur']","['polic', 'confirm', 'suspect', 'captur']",0.48
sts_train_4907,"['typhoon', 'survivor', 'raid', 'philippin', 'store']","['typhoon', 'bopha', 'kill', 'num', 'philippin']",0.24
sts_train_2928,"['woman', 'hospit', 'june', 'num', 'kansa', 'health', 'offici', 'said']","['missouri', 'health', 'offici', 'said', 'hospit', 'recov']",0.2
sts_train_69,"['man', 'danc']","['man', 'talk']",0.12
sts_train_225,"['woman', 'danc']","['woman', 'knead', 'dough']",0.08
sts_train_4887,"['eu', 'renew', 'sanction', 'zimbabw']","['eu', 'lift', 'diamond', 'sanction', 'zimbabw']",0.6000000000000001
sick_train_3343,"['one', 'man', 'climb', 'rock', 'wall', 'anoth', 'man', 'hold', 'rope']","['one', 'man', 'climb', 'wall', 'made', 'rock', 'anoth', 'man', 'hold', 'rope']",0.98
sts_train_2696,"['replac', 'ron', 'dittemor', 'announc', 'resign', 'april', 'num']","['dittemor', 'announc', 'plan', 'resign', 'april', 'num']",0.52
sick_train_2484,"['dog', 'chase', 'ball']","['dog', 'chase', 'ball']",0.72
sts_train_2546,"['numyear', 'bond', 'usnumytrr', 'jump', 'num', 'take', 'yield', 'num', 'percent', 'num', 'percent']","['numyear', 'bond', 'usnumytrr', 'dip', 'num', 'yield', 'num', 'percent', 'num', 'percent']",0.4
sick_train_5980,"['cat', 'crawl', 'piec', 'furnitur']","['cat', 'crawl', 'piec', 'furnitur']",0.76
sick_train_2816,"['boy', 'cut', 'grass', 'curb', 'scissor']","['boy', 'cut', 'grass', 'curb', 'scissor']",0.76
sts_train_437,"['two', 'team', 'play', 'soccer']","['differ', 'set', 'team', 'play', 'footbal', 'field']",0.5
sts_train_4350,"['num', 'quak', 'strike', 'solomon', 'island']","['magnitud', 'num', 'quak', 'strike', 'solomon', 'island', 'usg']",0.6400000000000001
sts_train_3127,"['also', 'found', 'short', 'associ', 'famili', 'histori', 'hear', 'loss']","['short', 'found', 'twice', 'often', 'hear', 'loss']",0.68
sick_train_5597,"['sticki', 'goo', 'pull', 'bowl', 'woman']","['woman', 'pull', 'sticki', 'goo', 'bowl']",1.0
sick_train_190,"['man', 'floor', 'exercis']","['one', 'man', 'floor', 'exercis']",0.98
sts_train_1186,"['two', 'brown', 'hors', 'stand', 'grassi', 'field']","['two', 'men', 'sail', 'small', 'sailboat']",0.0
sts_train_3387,"['cancer', 'societi', 'said', 'studi', 'misus']","['american', 'cancer', 'societi', 'sever', 'scientist', 'said', 'studi', 'flaw', 'sever', 'way']",0.45
sick_train_80,"['seat', 'woman', 'sing', 'song', 'play', 'guitar']","['woman', 'rock', 'stand', 'look', 'around']",0.3399999999999999
sts_train_3887,"['former', 'nazi', 'death', 'camp', 'guard', 'demjanjuk', 'dead', 'num']","['john', 'demjanjuk', 'convict', 'nazi', 'death', 'camp', 'guard', 'dy', 'age', 'num']",0.92
sts_train_4164,"['putin', 'cast', 'ballot', 'russian', 'vote']","['putin', 'win', 'russia', 'presidenti', 'elect']",0.2799999999999999
sts_train_2410,"['hair', 'pretti', 'thing', 'tho', 'quot', 'ditto']","['hair', 'pretti', 'thing', 'tho', 'woop']",0.76
sts_train_662,"['man', 'stare', 'window']","['man', 'look', 'window']",0.96
sick_train_4050,"['girl', 'color', 'patch', 'cheek']","['girl', 'stand', 'group', 'wear', 'black', 'shirt', 'pink', 'bead']",0.48
sick_train_1731,"['littl', 'child', 'pink', 'sweater', 'climb', 'concret', 'staircas']","['small', 'child', 'outdoor', 'climb', 'step', 'grassi', 'area']",0.7
sts_train_1223,"['yellow', 'blue', 'airplan', 'fli', 'sky']","['nine', 'red', 'white', 'aircraft', 'fli', 'format', 'trail', 'smoke']",0.2
sts_train_847,"['larg', 'bird', 'stand', 'tabl', 'pick', 'plastic', 'glass', 'contain', 'liquid', 'place', 'bowl', 'someth']","['bird', 'pick', 'plastic', 'cup', 'contain', 'liquid', 'beak', 'put', 'cup', 'bowl']",0.7000000000000001
sts_train_3537,"['jewishamerican', 'group', 'antidefam', 'leagu', 'adl', 'publish', 'fullpag', 'advertis', 'swiss', 'intern', 'paper', 'april', 'num', 'accus', 'switzerland', 'fund', 'terror', 'deal']","['antidefam', 'leagu', 'took', 'fullpag', 'advertis', 'swiss', 'intern', 'newspap', 'earlier', 'april', 'num', 'accus', 'switzerland', 'fund', 'terror', 'deal']",0.8800000000000001
sick_train_4440,"['man', 'blue', 'ride', 'anim', 'dirt', 'road']","['man', 'blue', 'cowboy', 'hat', 'ride', 'white', 'hors']",0.6799999999999999
sts_train_2194,"['capit', 'gain', 'top', 'rate', 'percent']","['incom', 'tax', 'top', 'rate', 'percent']",0.48
sick_train_3854,"['man', 'run', 'road']","['man', 'stand', 'still']",0.54
sick_train_2692,"['man', 'stand', 'top', 'roof', 'play', 'violin']","['man', 'danc', 'roof']",0.64
sts_train_4651,"['seven', 'peacekeep', 'kill', 'sudan', 'darfur']","['peacekeep', 'kill', 'abyei', 'clash']",0.32
sick_train_3220,"['fish', 'follow', 'turtl']","['sea', 'turtl', 'hunt', 'fish']",0.64
sick_train_851,"['man', 'shoot', 'shotgun']","['man', 'shoot', 'shotgun']",0.64
sts_train_5488,"['world', 'news', 'updat', 'need', 'know']","['labour', 'nump', 'tax', 'rate', 'need', 'know']",0.12
sick_train_2352,"['man', 'stand', 'besid', 'birdcag', 'larg', 'color']","['man', 'stand', 'besid', 'larg', 'color', 'birdcag']",0.96
sick_train_4303,"['brown', 'dog', 'run', 'snow']","['dog', 'run', 'white', 'snow']",0.86
